# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,FIN,Lukas Hradecky
2,DF,BRA,Vanderson
3,DF,ENG,Eric Dier
4,DF,NED,Jordan Teze
5,DF,GER,Thilo Kehrer (vice-captain)
6,MF,SUI,Denis Zakaria (captain)
8,MF,FRA,Paul Pogba
9,FW,USA,Folarin Balogun
10,MF,RUS,Aleksandr Golovin (3rd captain)
11,MF,FRA,Maghnes Akliouche
12,DF,BRA,Caio Henrique
13,DF,FRA,Christian Mawissa
14,FW,DEN,Mika Biereth
15,MF,SEN,Lamine Camara
16,GK,SUI,Philipp Köhn
No.,Pos.,Nation,Player
17,MF,BEL,Stanis Idumbo
18,FW,JPN,Takumi Minamino
19,FW,NGA,George Ilenikhena
20,DF,FRA,Kassoum Ouattara
21,FW,FRA,Lucas Michal
22,DF,GHA,Mohammed Salisu
23,MF,FRA,Aladji Bamba
27,FW,SEN,Krépin Diatta
28,DF,FRA,Mamadou Coulibaly
29,FW,GER,Paris Brunner
31,FW,ESP,Ansu Fati (on loan from Barcelona)
43,FW,FRA,Pape Cabral
40,GK,FRA,Jules Stawiecki
50,GK,FRA,Yann Liénard
