# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,NED,Devyne Rensch
3,DF,ESP,Angeliño
4,MF,ITA,Bryan Cristante (captain)
5,DF,CIV,Evan Ndicka
7,MF,ITA,Lorenzo Pellegrini (3rd captain)
8,MF,MAR,Neil El Aynaoui
9,FW,UKR,Artem Dovbyk
11,FW,IRL,Evan Ferguson (on loan from Brighton)
12,DF,GRE,Kostas Tsimikas (on loan from Liverpool)
17,MF,FRA,Manu Koné
18,FW,ARG,Matías Soulé
19,DF,TUR,Zeki Çelik
21,FW,ARG,Paulo Dybala
22,DF,ESP,Mario Hermoso
No.,Pos.,Nation,Player
23,DF,ITA,Gianluca Mancini
24,DF,POL,Jan Ziółkowski
31,FW,JAM,Leon Bailey (on loan from Aston Villa)
32,GK,COL,Devis Vásquez
35,FW,ITA,Tommaso Baldanzi
43,DF,BRA,Wesley
61,MF,ITA,Niccolò Pisilli
66,DF,ESP,Buba Sangaré
87,DF,ITA,Daniele Ghilardi (on loan from Verona)
91,GK,POL,Radosław Żelezny
92,FW,ITA,Stephan El Shaarawy (vice-captain)
95,GK,ITA,Pierluigi Gollini
99,GK,SRB,Mile Svilar
