# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,IRL,Caoimhín Kelleher
2,DF,SCO,Aaron Hickey
3,DF,ENG,Rico Henry
4,DF,NED,Sepp van den Berg
5,DF,JAM,Ethan Pinnock
6,MF,ENG,Jordan Henderson
7,FW,GER,Kevin Schade
8,MF,DEN,Mathias Jensen
9,FW,BRA,Igor Thiago
10,MF,ENG,Josh Dasilva
11,FW,ENG,Reiss Nelson (on loan from Arsenal)
12,GK,ISL,Hákon Valdimarsson
13,GK,ENG,Matthew Cox
14,MF,POR,Fábio Carvalho
15,MF,NGA,Frank Onyeka
17,MF,NED,Antoni Milambo
No.,Pos.,Nation,Player
18,MF,UKR,Yehor Yarmolyuk
19,FW,BFA,Dango Ouattara
20,DF,NOR,Kristoffer Ajer
22,DF,IRL,Nathan Collins (captain)
23,MF,ENG,Keane Lewis-Potter
24,MF,DEN,Mikkel Damsgaard
25,MF,ENG,Myles Peart-Harris
26,MF,TUR,Yunus Emre Konak
27,MF,GER,Vitaly Janelt
31,GK,ENG,Ellery Balcombe
32,MF,ENG,Paris Maghoma
33,DF,ITA,Michael Kayode
39,FW,BRA,Gustavo Nunes
41,GK,USA,Julian Eyestone
43,DF,ENG,Benjamin Arthur
45,FW,ENG,Romelle Donovan
