# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,NED,Bart Verbruggen
4,DF,ENG,Adam Webster
5,DF,ENG,Lewis Dunk (captain)
6,DF,NED,Jan Paul van Hecke
7,MF,ENG,Solly March
8,MF,GER,Brajan Gruda
9,FW,GRE,Stefanos Tzimas
10,FW,FRA,Georginio Rutter
11,MF,GAM,Yankuba Minteh
13,MF,ENG,Jack Hinshelwood
14,MF,ENG,Tom Watson
17,MF,CMR,Carlos Baleba
18,FW,ENG,Danny Welbeck
No.,Pos.,Nation,Player
19,FW,GRE,Charalampos Kostoulas
20,MF,ENG,James Milner
21,DF,FRA,Olivier Boscagli
22,MF,JPN,Kaoru Mitoma
23,GK,ENG,Jason Steele
24,DF,TUR,Ferdi Kadıoğlu
25,MF,PAR,Diego Gómez
26,MF,SWE,Yasin Ayari
27,MF,NED,Mats Wieffer
29,DF,BEL,Maxim De Cuyper
34,DF,NED,Joël Veltman
38,GK,CAN,Tom McGill
42,DF,ITA,Diego Coppola
