# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Robert Sánchez
3,DF,ESP,Marc Cucurella
4,DF,ENG,Tosin Adarabioyo
5,DF,FRA,Benoît Badiashile
6,DF,ENG,Levi Colwill
7,FW,POR,Pedro Neto
8,MF,ARG,Enzo Fernández (vice-captain)
9,FW,ENG,Liam Delap
10,MF,ENG,Cole Palmer
11,FW,ENG,Jamie Gittens
12,GK,DEN,Filip Jörgensen
14,MF,POR,Dário Essugo
17,MF,BRA,Andrey Santos
20,FW,BRA,João Pedro
21,DF,NED,Jorrel Hato
No.,Pos.,Nation,Player
23,DF,ENG,Trevoh Chalobah
24,DF,ENG,Reece James (captain)
25,MF,ECU,Moisés Caicedo (3rd captain)
27,DF,FRA,Malo Gusto
29,DF,FRA,Wesley Fofana
32,FW,ENG,Tyrique George
34,DF,ENG,Josh Acheampong
35,GK,ENG,Ted Curd
38,FW,ESP,Marc Guiu
40,MF,ARG,Facundo Buonanotte (on loan from Brighton & Hove Albion)
41,FW,BRA,Estêvão
44,GK,USA,Gabriel Slonina
45,MF,BEL,Roméo Lavia
49,FW,ARG,Alejandro Garnacho
—,FW,UKR,Mykhailo Mudryk
