# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Antonio Sivera (captain)
3,DF,MAR,Youssef Enríquez
4,MF,ESP,Denis Suárez
5,DF,ESP,Jon Pacheco (on loan from Real Sociedad)
6,MF,ESP,Ander Guevara (vice-captain)
7,MF,ESP,Carlos Vicente
8,MF,ESP,Antonio Blanco
9,FW,DOM,Mariano Díaz
10,MF,ESP,Carles Aleñá
11,FW,ESP,Toni Martínez
12,DF,SRB,Nikola Maraš
No.,Pos.,Nation,Player
13,GK,ESP,Raúl Fernández
14,DF,ARG,Nahuel Tenaglia (3rd captain)
15,FW,ARG,Lucas Boyé
17,DF,ESP,Jonny Otto
18,MF,ESP,Jon Guridi
19,MF,ESP,Pablo Ibáñez
20,MF,BRA,Calebe (on loan from Fortaleza)
21,MF,ALG,Abde Rebbach
22,DF,MLI,Moussa Diarra
23,MF,URU,Carlos Protesoni
24,DF,ESP,Víctor Parada
28,MF,ESP,Lander Pinillos
