# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ENG,Jordan Pickford (3rd captain)
2,DF,SCO,Nathan Patterson
5,DF,ENG,Michael Keane
6,DF,ENG,James Tarkowski (vice-captain)
7,FW,ENG,Dwight McNeil
9,FW,GNB,Beto
10,FW,SEN,Iliman Ndiaye
11,FW,FRA,Thierno Barry
12,GK,IRL,Mark Travers
15,DF,IRL,Jake O'Brien
16,DF,UKR,Vitaliy Mykolenko
18,MF,ENG,Jack Grealish (on loan from Manchester City)
No.,Pos.,Nation,Player
20,FW,ENG,Tyler Dibling
22,MF,ENG,Kiernan Dewsbury-Hall
23,DF,IRL,Séamus Coleman (captain)
24,MF,ARG,Carlos Alcaraz
27,MF,SEN,Idrissa Gueye
31,GK,WAL,Tom King
32,DF,ENG,Jarrad Branthwaite
34,MF,GER,Merlin Röhl (on loan from SC Freiburg)
37,MF,ENG,James Garner
38,GK,ENG,Harry Tyrer
39,DF,MAR,Adam Aznou
42,MF,ENG,Tim Iroegbunam
