# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Marc-André ter Stegen (captain)
3,DF,ESP,Alejandro Balde
4,DF,URU,Ronald Araújo (vice-captain)
5,DF,ESP,Pau Cubarsí
6,MF,ESP,Gavi
7,FW,ESP,Ferran Torres
8,MF,ESP,Pedri (5th captain)
9,FW,POL,Robert Lewandowski
10,FW,ESP,Lamine Yamal
11,FW,BRA,Raphinha (4th captain)
13,GK,ESP,Joan García
14,FW,ENG,Marcus Rashford (on loan from Manchester United)
No.,Pos.,Nation,Player
15,DF,DEN,Andreas Christensen
16,MF,ESP,Fermín López
17,MF,ESP,Marc Casadó
18,DF,ESP,Gerard Martín
20,MF,ESP,Dani Olmo
21,MF,NED,Frenkie de Jong (3rd captain)
22,MF,ESP,Marc Bernal
23,DF,FRA,Jules Koundé
24,DF,ESP,Eric García
25,GK,POL,Wojciech Szczęsny
28,FW,SWE,Roony Bardghji
