# Table 2
Type,Competition,Titles,Seasons
Domestic,La Liga,28,"1929, 1944–45, 1947–48, 1948–49, 1951–52, 1952–53, 1958–59, 1959–60, 1973–74, 1984–85, 1990–91, 1991–92, 1992–93, 1993–94, 1997–98, 1998–99, 2004–05, 2005–06, 2008–09, 2009–10, 2010–11, 2012–13, 2014–15, 2015–16, 2017–18, 2018–19, 2022–23, 2024–25"
Domestic,Copa del Rey,32,"1910, 1912, 1913, 1920, 1922, 1925, 1926, 1928, 1942, 1951, 1952, 1952–53, 1957, 1958–59, 1962–63, 1967–68, 1970–71, 1977–78, 1980–81, 1982–83, 1987–88, 1989–90, 1996–97, 1997–98, 2008–09, 2011–12, 2014–15, 2015–16, 2016–17, 2017–18, 2020–21, 2024–25"
Domestic,Copa de la Liga,2,"1983, 1986"
Domestic,Supercopa de España,15,"1983, 1991, 1992, 1994, 1996, 2005, 2006, 2009, 2010, 2011, 2013, 2016, 2018, 2023, 2025"
Domestic,Copa Eva Duarte,3,"1948, 1952, 1953"
Continental,UEFA Champions League,5,"1991–92, 2005–06, 2008–09, 2010–11, 2014–15"
Continental,UEFA Cup Winners' Cup,4,"1978–79, 1981–82, 1988–89, 1996–97"
Continental,UEFA Super Cup,5,"1992, 1997, 2009, 2011, 2015"
Continental,Inter-Cities Fairs Cup,3,"1955–58, 1958–60, 1965–66"
Continental,Latin Cup,2S,"1949, 1952"
Worldwide,FIFA Club World Cup,3,"2009, 2011, 2015"
Regional,Catalan football championship,23,"1901–02, 1902–03, 1904–05, 1908–09, 1909–10, 1910–11, 1912–13, 1915–16, 1918–19, 1919–20, 1920–21, 1921–22, 1923–24, 1924–25, 1925–26, 1926–27, 1927–28, 1929–30, 1930–31, 1931–32, 1933–34, 1935–36, 1937–38"
