# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,CZE,Jiří Letáček
2,DF,TOG,Djené (captain)
3,DF,MAR,Abdel Abqar
4,MF,CMR,Yvan Neyou
5,MF,ESP,Luis Milla
6,MF,ESP,Mario Martín (on loan from Real Madrid)
7,FW,ESP,Juanmi
8,MF,URU,Mauro Arambarri
9,FW,ESP,Borja Mayoral
11,FW,ENG,Abu Kamara (on loan from Hull City)
No.,Pos.,Nation,Player
13,GK,ESP,David Soria (vice-captain)
14,MF,ESP,Javi Muñoz
16,DF,ESP,Diego Rico
17,DF,ESP,Kiko Femenía
18,FW,ESP,Álex Sancris
20,FW,ESP,Coba da Costa
21,DF,ESP,Juan Iglesias
22,DF,POR,Domingos Duarte
23,FW,ESP,Adrián Liso (on loan from Zaragoza)
26,DF,ESP,Davinchi
