# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,CRO,Dominik Livaković (on loan from Fenerbahçe)
2,DF,ESP,Hugo Rincón (on loan from Athletic Bilbao)
3,FW,ESP,Joel Roca
4,DF,ESP,Arnau Martínez (3rd captain)
5,DF,ESP,David López
6,MF,NED,Donny van de Beek
7,FW,URU,Cristhian Stuani (captain)
8,FW,ESP,Portu
9,FW,ESP,Abel Ruiz
10,FW,COL,Yáser Asprilla
11,MF,FRA,Thomas Lemar (on loan from Atlético Madrid)
12,DF,BRA,Vitor Reis (on loan from Manchester City)
13,GK,ARG,Paulo Gazzaniga
No.,Pos.,Nation,Player
15,FW,UKR,Viktor Tsyhankov
16,DF,ESP,Alejandro Francés
17,DF,NED,Daley Blind
18,MF,MAR,Azzedine Ounahi
19,FW,UKR,Vladyslav Vanat
20,MF,BEL,Axel Witsel
21,FW,ESP,Bryan Gil
22,MF,COL,Jhon Solís
23,MF,ESP,Iván Martín (2nd captain)
24,DF,ESP,Àlex Moreno
25,GK,UKR,Vladyslav Krapyvtsov
—,GK,ESP,Juan Carlos
