# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,POR,Daniel Heuer Fernandes
2,DF,FRA,William Mikelbrencis
3,DF,GER,Noah Katterbach
6,MF,BEL,Albert Sambi Lokonga
7,FW,FRA,Jean-Luc Dompé
8,MF,LBY,Daniel Elfadli
9,FW,GER,Robert Glatzel
10,MF,SUR,Immanuel Pherai
11,FW,GHA,Ransford-Yeboah Königsdörffer
13,DF,POR,Guilherme Ramos
14,FW,FRA,Rayan Philippe
15,FW,DEN,Yussuf Poulsen (captain)
16,DF,GEO,Giorgi Gocholeishvili (on loan from Shakhtar Donetsk)
17,DF,COM,Warmed Omari (on loan from Rennes)
18,MF,GAM,Bakery Jatta
20,MF,POR,Fábio Vieira (on loan from Arsenal)
No.,Pos.,Nation,Player
21,MF,GER,Nicolai Remberg
22,DF,FRA,Aboubaka Soumahoro
23,MF,GER,Jonas Meffert
24,MF,ARG,Nicolás Capaldo
25,DF,NGA,Jordan Torunarigha
26,GK,ISR,Daniel Peretz (on loan from Bayern Munich)
28,DF,SUI,Miro Muheim
29,FW,KOS,Emir Sahiti
30,DF,SUI,Silvan Hefti
38,FW,NOR,Alexander Røssing-Lelesiit
40,GK,GER,Hannes Hermann
41,GK,GER,Fernando Dickes
44,DF,CRO,Luka Vušković (on loan from Tottenham Hotspur)
45,FW,POR,Fabio Baldé
48,MF,GER,Bilal Yalcinkaya
