# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Mattia Perin
3,DF,BRA,Bremer (vice-captain)
4,DF,ITA,Federico Gatti
5,MF,ITA,Manuel Locatelli (captain)
6,DF,ENG,Lloyd Kelly
7,FW,POR,Francisco Conceição
8,MF,NED,Teun Koopmeiners
9,FW,SRB,Dušan Vlahović
10,FW,TUR,Kenan Yıldız
11,FW,KOS,Edon Zhegrova
14,FW,POL,Arkadiusz Milik
15,DF,FRA,Pierre Kalulu
16,GK,ITA,Michele Di Gregorio
No.,Pos.,Nation,Player
17,MF,MNE,Vasilije Adžić
18,MF,SRB,Filip Kostić
19,MF,FRA,Khéphren Thuram
20,FW,BEL,Loïs Openda (on loan from RB Leipzig)
21,MF,ITA,Fabio Miretti
22,MF,USA,Weston McKennie
23,GK,ITA,Carlo Pinsoglio
24,DF,ITA,Daniele Rugani
25,MF,POR,João Mário
27,MF,ITA,Andrea Cambiaso
30,FW,CAN,Jonathan David
32,DF,COL,Juan Cabal
40,DF,SWE,Jonas Rouhi
