# 
0,1,2,3
No.,Pos.,Nation,Player
4,DF,FRA,Gautier Lloris
6,DF,FRA,Étienne Youte Kinkoue
7,DF,HUN,Loïc Négo
8,MF,MAR,Yassine Kechta
9,FW,CHI,Damián Pizarro (on loan from Udinese)
10,MF,SUI,Felix Mambimbi
11,FW,FRA,Godson Kyeremeh
13,DF,MLI,Fodé Doucouré
14,MF,SEN,Rassoul Ndiaye
15,DF,JPN,Ayumu Seko
17,DF,MAR,Oualid El Hajjam
18,DF,FRA,Yanis Zouaoui
19,FW,FRA,Élysée Logbo
21,MF,DEN,Younes Namli
No.,Pos.,Nation,Player
23,DF,FRA,Thomas Delaine
24,MF,CIV,Guy-Noël Zohouri
26,MF,FRA,Simon Ebonog
30,FW,GER,Reda Khadra (on loan from Reims)
33,DF,FRA,Stephan Zagadou
45,FW,SEN,Issa Soumaré
50,GK,FRA,Paul Argney
70,FW,TAN,Mbwana Samatta
77,GK,COD,Lionel Mpasi
78,MF,FRA,Daren Mosengo
93,DF,SEN,Arouna Sangante (captain)
94,MF,GUI,Abdoulaye Touré
99,GK,SEN,Mory Diaw
—,DF,SEN,Georges Gomis
