# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Pablo Campos
2,DF,ARG,Matías Moreno (on loan from Fiorentina)
3,DF,URU,Alan Matturro (on loan from Genoa)
4,DF,ESP,Adrián de la Fuente
5,DF,ESP,Unai Elgezabal
6,DF,ESP,Diego Pampín
7,FW,ESP,Roger Brugué
8,MF,ESP,Jon Ander Olasagasti
9,FW,ESP,Iván Romero
10,MF,ESP,Pablo Martínez (vice-captain)
11,FW,ESP,José Luis Morales (3rd captain)
12,MF,ESP,Unai Vencedor (on loan from Athletic Bilbao)
13,GK,AUS,Mathew Ryan
No.,Pos.,Nation,Player
14,DF,ESP,Jorge Cabello
15,FW,CTA,Goduine Koyalipou (on loan from Lens)
16,MF,HON,Kervin Arriaga
17,DF,ESP,Víctor García
18,FW,ESP,Iker Losada (on loan from Betis)
19,FW,ESP,Carlos Espí
20,MF,ESP,Oriol Rey
21,FW,CMR,Karl Etta Eyong
22,DF,GER,Jeremy Toljan
23,DF,ESP,Manu Sánchez (on loan from Celta)
24,MF,ESP,Carlos Álvarez
32,GK,ESP,Álex Primo
