# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Lasse Rieß
2,DF,AUT,Phillipp Mwene
5,DF,GER,Maxim Leitsch
6,MF,JPN,Kaishū Sano
7,MF,KOR,Lee Jae-sung
8,MF,GER,Paul Nebel
9,FW,FRA,Arnaud Nordin
10,MF,GER,Nadiem Amiri
11,FW,GER,Armindo Sieb (on loan from Bayern Munich)
14,FW,DEN,William Bøving
15,MF,USA,Lennard Maloney
16,DF,GER,Stefan Bell
17,FW,GER,Benedict Hollerbach
18,DF,AUS,Kasey Bos
No.,Pos.,Nation,Player
19,DF,FRA,Anthony Caci
21,DF,GER,Danny da Costa
22,DF,AUT,Nikolas Veratschnig
23,DF,AUT,Konstantin Schopp
24,MF,JPN,Sōta Kawasaki (on loan from Kyoto Sanga)
25,DF,NOR,Andreas Hanche-Olsen
27,GK,GER,Robin Zentner
28,MF,GER,Niklas Tauer
30,DF,SUI,Silvan Widmer (captain)
31,MF,GER,Dominik Kohr
33,GK,GER,Daniel Batz
37,FW,GER,Ben Bobzien
44,FW,GER,Nelson Weiper
47,DF,GER,Maxim Dal
