# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,FRA,Mathieu Michel
3,DF,MAR,Naoufel El Hannach (on loan from Paris Saint-Germain)
5,MF,FRA,Everson Junior
6,DF,GLP,Christopher Jullien
7,FW,COD,Nathanaël Mbuku (on loan from Augsburg)
8,FW,FRA,Yanis Issoufou
10,MF,MAR,Khalil Fayad
11,MF,FRA,Téji Savanier
14,FW,NGA,Victor Orakpo (on loan from Nice)
15,DF,FRA,Julien Laporte
17,DF,FRA,Théo Sainte-Luce
18,FW,FRA,Nicolas Pays
No.,Pos.,Nation,Player
19,FW,GNB,Alexandre Mendy
21,DF,FRA,Lucas Mincarelli
22,MF,FRA,Axel Gueguin
23,DF,FRA,Yaël Mouanga
24,FW,UAE,Junior Ndiaye
27,DF,SUI,Bećir Omeragić
28,FW,BEL,Ayanda Sishuba (on loan from Rennes)
29,DF,CMR,Enzo Tchato
31,GK,CMR,Simon Ngapandouetnbu
33,FW,FRA,Fayssal El Mahboub
44,MF,FRA,Théo Chennahi
50,GK,SRB,Viktor Džodić
