# 
0,1,2,3
No.,Pos.,Nation,Player
3,DF,WAL,Neco Williams
4,DF,BRA,Morato
5,DF,BRA,Murillo
6,MF,CIV,Ibrahim Sangaré
7,FW,ENG,Callum Hudson-Odoi
8,MF,ENG,Elliot Anderson
9,FW,NGA,Taiwo Awoniyi
10,MF,ENG,Morgan Gibbs-White (vice-captain)
11,FW,NZL,Chris Wood
12,MF,BRA,Douglas Luiz (on loan from Juventus)
13,GK,BRA,John Victor
14,FW,SUI,Dan Ndoye
15,FW,FRA,Arnaud Kalimuendo
16,MF,ARG,Nicolás Domínguez
No.,Pos.,Nation,Player
18,GK,SCO,Angus Gunn
19,FW,BRA,Igor Jesus
21,FW,ENG,Omari Hutchinson
22,MF,ENG,Ryan Yates (captain)
23,DF,BRA,Jair Cunha
24,MF,ENG,James McAtee
26,GK,BEL,Matz Sels
29,FW,FRA,Dilane Bakwa
30,DF,CIV,Willy Boly
31,DF,SRB,Nikola Milenković
34,DF,NGA,Ola Aina
35,DF,UKR,Oleksandr Zinchenko (on loan from Arsenal)
37,DF,ITA,Nicolò Savona
44,DF,ENG,Zach Abbott
