# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,TUN,Ali Abdi
4,DF,BRA,Dante (captain)
5,DF,EGY,Mohamed Abdelmonem
6,MF,ALG,Hicham Boudaoui
7,FW,CIV,Jérémie Boga
8,MF,FRA,Morgan Sanson
9,FW,NGA,Terem Moffi
10,MF,MAR,Sofiane Diop
20,MF,FRA,Tom Louchet
21,FW,SWE,Isak Jansson
22,MF,FRA,Tanguy Ndombele
23,MF,FRA,Gabin Bernardeau
24,MF,BEL,Charles Vanhoutte
25,FW,FRA,Mohamed-Ali Cho
26,DF,FRA,Melvin Bard
28,DF,SLE,Juma Bah (on loan from Manchester City)
No.,Pos.,Nation,Player
30,GK,POL,Bartosz Zelazowski
31,GK,FRA,Maxime Dupé
33,DF,SEN,Antoine Mendy
37,DF,GHA,Kojo Peprah Oppong
39,MF,FRA,Djibril Coulibaly
47,FW,POR,Tiago Gouveia (on loan from Benfica)
48,DF,FRA,Laurenzo Monteiro
49,FW,CMR,Bernard Nguene
50,GK,FRA,Théo Bruyère
55,DF,BDI,Youssouf Ndayishimiye
64,DF,CAN,Moïse Bombito
80,GK,SEN,Yehvann Diouf
90,FW,ESP,Kevin Carlos
92,DF,FRA,Jonathan Clauss
99,MF,GHA,Salis Abdul Samed
