# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ARG,Gerónimo Rulli
4,DF,ENG,CJ Egan-Riley
5,DF,ARG,Leonardo Balerdi (captain)
6,DF,SUI,Ulisses Garcia
7,FW,FRA,Neal Maupay
8,MF,ENG,Angel Gomes
9,FW,ALG,Amine Gouiri
10,FW,ENG,Mason Greenwood
12,GK,NED,Jeffrey de Lange
14,FW,BRA,Igor Paixão
17,MF,DEN,Matt O'Riley (on loan from Brighton & Hove Albion)
18,MF,BEL,Arthur Vermeeren (on loan from RB Leipzig)
19,MF,CTA,Geoffrey Kondogbia
No.,Pos.,Nation,Player
20,MF,CIV,Hamed Traorè (on loan from Bournemouth)
21,DF,MAR,Nayef Aguerd
22,FW,USA,Timothy Weah (on loan from Juventus)
23,MF,DEN,Pierre-Emile Højbjerg (vice-captain)
24,MF,CMR,François Mughe
26,MF,MAR,Bilal Nadir
28,DF,FRA,Benjamin Pavard (on loan from Inter Milan)
29,DF,ESP,Pol Lirola
32,DF,ARG,Facundo Medina (on loan from Lens)
33,DF,ITA,Emerson Palmieri
36,GK,ESP,Rubén Blanco
62,DF,PAN,Michael Amir Murillo
97,FW,GAB,Pierre-Emerick Aubameyang
