# AC Milan honours
Type,Competition,Titles,Seasons
Domestic,Serie A,19,"1901, 1906, 1907, 1950–51, 1954–55, 1956–57, 1958–59, 1961–62, 1967–68, 1978–79, 1987–88, 1991–92, 1992–93, 1993–94, 1995–96, 1998–99, 2003–04, 2010–11, 2021–22"
Domestic,Serie B,2,"1980–81, 1982–83"
Domestic,Coppa Italia,5,"1966–67, 1971–72, 1972–73, 1976–77, 2002–03"
Domestic,Supercoppa Italiana,8,"1988, 1992, 1993, 1994, 2004, 2011, 2016, 2024"
Continental,European Cup / UEFA Champions League,7,"1962–63, 1968–69, 1988–89, 1989–90, 1993–94, 2002–03, 2006–07"
Continental,European Cup Winners' Cup,2,"1967–68, 1972–73"
Continental,European Super Cup / UEFA Super Cup,5,"1989, 1990, 1994, 2003, 2007"
Continental,Latin Cup,2s,"1951, 1956"
Worldwide,Intercontinental Cup,3s,"1969, 1989, 1990"
Worldwide,FIFA Club World Cup,1,2007
