# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,MAR,Achraf Hakimi (vice-captain)
4,DF,BRA,Lucas Beraldo
5,DF,BRA,Marquinhos (captain)
6,DF,UKR,Illia Zabarnyi
7,FW,GEO,Khvicha Kvaratskhelia
8,MF,ESP,Fabián Ruiz
9,FW,POR,Gonçalo Ramos
10,FW,FRA,Ousmane Dembélé (vice-captain)
14,FW,FRA,Désiré Doué
17,MF,POR,Vitinha (vice-captain)
19,MF,KOR,Lee Kang-in
21,DF,FRA,Lucas Hernandez
No.,Pos.,Nation,Player
24,MF,FRA,Senny Mayulu
25,DF,POR,Nuno Mendes
29,FW,FRA,Bradley Barcola
30,GK,FRA,Lucas Chevalier
33,MF,FRA,Warren Zaïre-Emery
39,GK,RUS,Matvey Safonov
43,DF,FRA,Noham Kamara
49,FW,FRA,Ibrahim Mbaye
51,DF,ECU,Willian Pacho
87,MF,POR,João Neves
89,GK,ITA,Renato Marin
