# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,HUN,Péter Gulácsi (3rd captain)
4,DF,HUN,Willi Orbán
5,DF,FRA,El Chadaille Bitshiabu
6,MF,NED,Ezechiel Banzuzi
7,MF,NOR,Antonio Nusa
8,MF,MLI,Amadou Haidara
9,FW,BEL,Johan Bakayoko
11,FW,DEN,Conrad Harder
13,MF,AUT,Nicolas Seiwald
14,MF,AUT,Christoph Baumgartner
16,DF,GER,Lukas Klostermann
17,DF,GER,Ridle Baku
19,DF,SRB,Kosta Nedeljković (on loan from Aston Villa)
20,MF,GER,Assan Ouédraogo
22,DF,GER,David Raum (captain)
23,DF,FRA,Castello Lukeba
No.,Pos.,Nation,Player
24,MF,AUT,Xaver Schlager
25,GK,GER,Leopold Zingerle
26,GK,BEL,Maarten Vandevoordt
27,FW,FRA,Tidiam Gomis
31,MF,GER,Faik Sakar
33,MF,SRB,Andrija Maksimović
35,DF,GER,Max Finkgräfe
36,FW,GER,Timo Werner
39,DF,GER,Benjamin Henrichs
40,FW,BRA,Rômulo
42,DF,BEL,Joyeux Masanka Bungi
44,MF,SVN,Kevin Kampl (vice-captain)
47,MF,GER,Viggo Gebel
48,DF,GER,Lionel Voufack
49,FW,CIV,Yan Diomande
