# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,SWE,Karl-Johan Johnsson
2,DF,IRL,Andrew Omobamidele
3,DF,ENG,Ben Chilwell
4,DF,GUI,Saïdou Sow
5,DF,CIV,Abakar Sylla
6,DF,FRA,Ismaël Doukouré
7,FW,BEL,Diego Moreira
8,MF,POL,Maxi Oyedele
9,FW,ARG,Joaquín Panichelli
10,FW,NED,Emanuel Emegha (captain)
11,FW,SWE,Sebastian Nanasi
16,FW,ECU,Kendry Páez (on loan from Chelsea)
17,MF,FRA,Mathis Amougou
19,MF,PAR,Julio Enciso
20,FW,CIV,Martial Godo
22,DF,CIV,Guéla Doué
No.,Pos.,Nation,Player
23,DF,FRA,Mamadou Sarr (on loan from Chelsea)
24,DF,DEN,Lucas Høgsberg
27,FW,ENG,Sam Amo-Ameyaw
29,MF,MAR,Samir El Mourabet
32,DF,ARG,Valentín Barco
34,DF,FRA,Sacha Lung
39,GK,BEL,Mike Penders (on loan from Chelsea)
41,MF,FRA,Rabby Nzingoula
42,FW,CIV,Abdoul Ouattara
44,DF,FRA,Soumaïla Coulibaly
50,GK,FRA,Stefan Bajic
60,GK,FRA,Gabriel Kerckaert
77,DF,UKR,Eduard Sobol
80,MF,FRA,Félix Lemaréchal
83,MF,POR,Rafael Luís (on loan from Benfica)
