# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Luca Lezzerini
2,DF,BRA,Dodô
5,DF,CRO,Marin Pongračić
6,DF,ITA,Luca Ranieri (captain)
7,MF,SUI,Simon Sohm
8,MF,ITA,Rolando Mandragora (vice-captain)
9,FW,BIH,Edin Džeko
10,FW,ISL,Albert Guðmundsson
11,MF,MAR,Abdelhamid Sabiri
14,MF,ITA,Hans Nicolussi Caviglia (on loan from Venezia)
15,DF,ITA,Pietro Comuzzo
18,DF,ESP,Pablo Marí
20,FW,ITA,Moise Kean
21,DF,GER,Robin Gosens
22,MF,ITA,Jacopo Fazzini
No.,Pos.,Nation,Player
23,DF,BIH,Eman Košpo
24,MF,MAR,Amir Richardson
26,DF,ITA,Mattia Viti (on loan from Nice)
27,MF,ITA,Cher Ndour
29,DF,ITA,Niccolò Fortini
30,GK,ITA,Tommaso Martinelli
43,GK,ESP,David de Gea
44,MF,ITA,Nicolò Fagioli
48,DF,GHA,Tariq Lamptey
60,DF,ITA,Eddy Kouadio
61,FW,ITA,Riccardo Braschi
65,DF,ITA,Fabiano Parisi
91,FW,ITA,Roberto Piccoli
99,FW,CIV,Christian Kouamé
