# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,BEL,Thibaut Courtois
2,DF,ESP,Dani Carvajal (captain)
3,DF,BRA,Éder Militão
4,DF,AUT,David Alaba
5,MF,ENG,Jude Bellingham
6,MF,FRA,Eduardo Camavinga
7,FW,BRA,Vinícius Júnior
8,MF,URU,Federico Valverde (vice-captain)
9,FW,BRA,Endrick
10,FW,FRA,Kylian Mbappé
11,FW,BRA,Rodrygo
12,DF,ENG,Trent Alexander-Arnold
13,GK,UKR,Andriy Lunin
No.,Pos.,Nation,Player
14,MF,FRA,Aurélien Tchouaméni
15,MF,TUR,Arda Güler
16,FW,ESP,Gonzalo García
17,DF,ESP,Raúl Asencio
18,DF,ESP,Álvaro Carreras
19,MF,ESP,Dani Ceballos
20,DF,ESP,Fran García
21,FW,MAR,Brahim Díaz
22,DF,GER,Antonio Rüdiger
23,DF,FRA,Ferland Mendy
24,DF,ESP,Dean Huijsen
30,FW,ARG,Franco Mastantuono
