# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Álex Remiro
2,DF,VEN,Jon Aramburu
3,DF,ESP,Aihen Muñoz
4,MF,ESP,Jon Gorrotxategi
5,DF,ESP,Igor Zubeldia (3rd captain)
6,DF,ESP,Aritz Elustondo (vice-captain)
7,FW,ESP,Ander Barrenetxea
8,MF,ESP,Beñat Turrientes
9,FW,ISL,Orri Óskarsson
10,FW,ESP,Mikel Oyarzabal (captain)
11,FW,POR,Gonçalo Guedes
12,MF,VEN,Yangel Herrera
13,GK,ESP,Unai Marrero
No.,Pos.,Nation,Player
14,MF,JPN,Takefusa Kubo
15,FW,NGA,Umar Sadiq
16,DF,CRO,Duje Ćaleta-Car (on loan from Lyon)
17,MF,ESP,Sergio Gómez
18,MF,ESP,Carlos Soler
19,FW,ESP,Jon Karrikaburu
20,DF,ESP,Álvaro Odriozola
21,MF,RUS,Arsen Zakharyan
22,FW,ESP,Mikel Goti
23,MF,ESP,Brais Méndez
24,MF,CRO,Luka Sučić
28,MF,ESP,Pablo Marín
31,DF,ESP,Jon Martín
