# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GRE,Odysseas Vlachodimos (on loan from Newcastle)
2,DF,ESP,José Ángel Carmona
3,DF,ESP,César Azpilicueta
4,DF,ESP,Kike Salas
5,DF,FRA,Tanguy Nianzou
6,MF,SRB,Nemanja Gudelj (captain)
7,FW,ESP,Isaac Romero
8,MF,ESP,Joan Jordán
9,FW,NGA,Akor Adams
10,FW,CHI,Alexis Sánchez
11,FW,SUI,Rubén Vargas
12,DF,CHI,Gabriel Suazo
13,GK,NOR,Ørjan Nyland
No.,Pos.,Nation,Player
14,FW,ESP,Peque Fernández
15,DF,POR,Fábio Cardoso
16,DF,ESP,Juanlu Sánchez
17,FW,ESP,Alfon González
18,MF,FRA,Lucien Agoumé
19,MF,FRA,Batista Mendy (on loan from Trabzonspor)
20,MF,SUI,Djibril Sow
21,FW,NGA,Chidera Ejuke
22,DF,ESP,Ramón Martínez
23,DF,BRA,Marcão (vice-captain)
24,MF,BEL,Adnan Januzaj
25,GK,ESP,Álvaro Fernández
31,GK,ESP,Alberto Flores
