# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,FRA,Samuel Gigot
3,DF,ITA,Luca Pellegrini
4,DF,ESP,Patric (vice-captain)
5,MF,URU,Matías Vecino
6,MF,ITA,Nicolò Rovella
7,MF,NGA,Fisayo Dele-Bashiru
8,MF,FRA,Mattéo Guendouzi
9,FW,ESP,Pedro
10,MF,ITA,Mattia Zaccagni (captain)
11,FW,ARG,Taty Castellanos
13,DF,ITA,Alessio Romagnoli
14,FW,NED,Tijjani Noslin
17,DF,POR,Nuno Tavares
18,FW,DEN,Gustav Isaksen
No.,Pos.,Nation,Player
19,FW,SEN,Boulaye Dia (on loan from Salernitana)
21,MF,MAR,Reda Belahyane
22,FW,ITA,Matteo Cancellieri
23,DF,ALB,Elseid Hysaj
25,DF,DEN,Oliver Provstgaard
26,MF,CRO,Toma Bašić
29,MF,ITA,Manuel Lazzari
32,MF,ITA,Danilo Cataldi
34,DF,ESP,Mario Gila
35,GK,GRE,Christos Mandas
55,GK,ITA,Alessio Furlanetto
77,DF,MNE,Adam Marušić (3rd captain)
94,GK,ITA,Ivan Provedel
