# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Alex Meret
3,DF,ESP,Miguel Gutiérrez
4,DF,ITA,Alessandro Buongiorno
5,DF,BRA,Juan Jesus
6,MF,SCO,Billy Gilmour
7,FW,BRA,David Neres
8,MF,SCO,Scott McTominay
9,FW,BEL,Romelu Lukaku
11,MF,BEL,Kevin De Bruyne
13,DF,KOS,Amir Rrahmani
14,GK,ITA,Nikita Contini
17,DF,URU,Mathías Olivera
19,FW,DEN,Rasmus Højlund (on loan from Manchester United)
20,FW,MKD,Eljif Elmas (on loan from RB Leipzig)
No.,Pos.,Nation,Player
21,FW,ITA,Matteo Politano
22,DF,ITA,Giovanni Di Lorenzo (captain)
25,GK,ITA,Mathias Ferrante
26,MF,ITA,Antonio Vergara
27,FW,ITA,Lorenzo Lucca (on loan from Udinese)
30,DF,ITA,Pasquale Mazzocchi
31,DF,NED,Sam Beukema
32,GK,SRB,Vanja Milinković-Savić (on loan from Torino)
35,DF,ITA,Luca Marianucci
37,DF,ITA,Leonardo Spinazzola
68,MF,SVK,Stanislav Lobotka
69,FW,ITA,Giuseppe Ambrosino
70,FW,NED,Noa Lang
99,MF,CMR,Frank Anguissa
