# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,POL,Radosław Majecki (on loan from Monaco)
2,DF,FRA,Bradley Locko
4,DF,CIV,Junior Diaz (on loan from Troyes)
5,DF,FRA,Brendan Chardonnet (captain)
7,MF,FRA,Éric Junior Dina Ebimbe (on loan from Eintracht Frankfurt)
8,MF,FRA,Hugo Magnetti
10,MF,FRA,Romain Del Castillo
12,DF,CIV,Luck Zogbé
13,MF,FRA,Joris Chotard
14,FW,FRA,Rémy Labeau Lascary (on loan from Lens)
17,FW,GNB,Mama Baldé
18,DF,FRA,Justin Bourgault
No.,Pos.,Nation,Player
19,FW,FRA,Ludovic Ajorque
23,MF,MLI,Kamory Doumbia
24,MF,FRA,Lucas Tousart
25,DF,FRA,Julien Le Cardinal
27,DF,MLI,Daouda Guindo
29,FW,SEN,Saliou Diop
30,GK,FRA,Grégoire Coudert
33,MF,MLI,Hamidou Makalou
36,DF,FRA,Raphaël Le Guen
50,GK,IRL,Noah Jauny
77,DF,FRA,Kenny Lala
99,FW,SEN,Pathé Mboup
