# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Christian Früchtl
3,DF,IRL,Corrie Ndaba
4,DF,ANG,Kialonda Gaspar
5,DF,GER,Jamil Siebert
6,MF,ESP,Álex Sala
7,FW,ESP,Tete Morente
8,MF,TUN,Hamza Rafia
9,FW,SRB,Nikola Štulić
10,MF,ALB,Medon Berisha
11,FW,CIV,Konan N'Dri
13,DF,CHI,Matías Pérez
14,MF,ISL,Þórir Jóhann Helgason
17,DF,POR,Danilo Veiga
18,DF,FRA,Gaby Jean
19,FW,ZAM,Lameck Banda
No.,Pos.,Nation,Player
20,MF,ALB,Ylber Ramadani
21,DF,CIV,Christ-Owen Kouassi
22,FW,ITA,Francesco Camarda (on loan from AC Milan)
23,FW,ITA,Riccardo Sottil (on loan from Fiorentina)
25,DF,ITA,Antonino Gallo
29,MF,MLI,Lassana Coulibaly
30,GK,ITA,Wladimiro Falcone (captain)
32,GK,FIN,Jasper Samooja
36,MF,POL,Filip Marchwiński
44,DF,POR,Tiago Gabriel
50,FW,ARG,Santiago Pierotti
75,MF,FRA,Balthazar Pierret
77,MF,FRA,Mohamed Kaba
93,MF,MAR,Youssef Maleh
