# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,HAI,Carlens Arcus
3,DF,GAB,Jacques Ekomié
4,DF,MLI,Ousmane Camara
5,MF,FRA,Marius Courcoul
6,MF,FRA,Louis Mouton
10,MF,ALG,Himad Abdelli (vice-captain)
11,FW,FRA,Sidiki Cherif
12,GK,BFA,Hervé Koffi (on loan from Lens)
14,MF,MAR,Yassin Belkhdim
15,MF,FRA,Pierrick Capelle
16,GK,CGO,Melvin Zinga
17,MF,FRA,Justin Kalumba
18,MF,GAB,Jim Allevinah
20,DF,FRA,Marius Louër
No.,Pos.,Nation,Player
21,DF,FRA,Jordan Lefort
23,DF,MLI,Dan Sinaté
24,DF,FRA,Emmanuel Biumla
25,DF,CIV,Abdoulaye Bamba
26,DF,FRA,Florent Hanin
27,MF,FRA,Lilian Raolisoa
34,FW,FRA,Amine Moussaoui
35,FW,FRA,Prosper Peter
36,FW,FRA,Lanroy Machine
37,MF,FRA,Lionel Ngangué
38,MF,FRA,Ilann Garin
40,GK,MLI,Oumar Pona
41,MF,MAR,Jibril El Baraka
93,MF,ALG,Haris Belkebla (captain)
