# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Fabian Bredlow
2,DF,BEL,Ameen Al-Dakhil
3,DF,NED,Ramon Hendriks
4,DF,GER,Josha Vagnoman
5,MF,GER,Yannik Keitel
6,MF,GER,Angelo Stiller
7,DF,GER,Maximilian Mittelstädt
8,FW,POR,Tiago Tomás
9,FW,BIH,Ermedin Demirović
10,MF,GER,Chris Führich
11,MF,MAR,Bilal El Khannouss (on loan from Leicester City)
13,FW,COD,Silas
14,DF,SUI,Luca Jaquez
15,DF,GER,Pascal Stenzel
16,MF,TUR,Atakan Karazor (captain)
17,FW,GER,Justin Diehl
18,FW,GER,Jamie Leweling
No.,Pos.,Nation,Player
19,MF,GER,Noah Darvich
20,DF,SUI,Leonidas Stergiou
21,GK,GER,Stefan Drljača
22,DF,FRA,Lorenz Assignon
23,DF,FRA,Dan-Axel Zagadou
24,DF,GER,Jeff Chabot
26,FW,GER,Deniz Undav
27,FW,ALG,Badredine Bouanani
28,MF,DEN,Nikolas Nartey
29,DF,GER,Finn Jeltsch
30,MF,ESP,Chema Andrés
33,GK,GER,Alexander Nübel (on loan from Bayern Munich)
35,MF,SRB,Mirza Ćatović
44,GK,GER,Florian Hellstern
45,FW,SRB,Lazar Jovanović
53,FW,NED,Mohamed Sankoh
