# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,POR,José Sá
2,DF,IRL,Matt Doherty (vice-captain)
3,DF,ESP,Hugo Bueno (6th captain)
4,DF,URU,Santiago Bueno
5,MF,ZIM,Marshall Munetsi
6,DF,NOR,David Møller Wolfe
7,MF,BRA,André
8,MF,BRA,João Gomes (4th captain)
9,FW,NOR,Jørgen Strand Larsen (5th captain)
10,FW,COL,Jhon Arias
11,FW,KOR,Hwang Hee-chan (3rd captain)
12,DF,CIV,Emmanuel Agbadou
14,FW,NGA,Tolu Arokodare
15,DF,COL,Yerson Mosquera
No.,Pos.,Nation,Player
21,FW,POR,Rodrigo Gomes
23,FW,ZIM,Tawanda Chirewa
24,DF,POR,Toti Gomes (captain)
25,GK,ENG,Dan Bentley
26,DF,NED,Ki-Jana Hoever
27,MF,HAI,Jean‐Ricner Bellegarde
28,MF,ESP,Fer López
30,FW,PAR,Enso González
31,GK,ENG,Sam Johnstone
36,FW,ENG,Mateus Mané
37,DF,CZE,Ladislav Krejčí (on loan from Girona)
38,DF,CMR,Jackson Tchatchoua
63,FW,IRL,Nathan Fraser
