# List of international goals scored by Faustino Asprilla
No.,Date,Venue,Opponent,Score,Result,Competition
1,6 June 1993,"Estadio Nemesio Camacho, Bogotá, Colombia",Chile,1–0,1–0,Friendly
2,5 September 1993,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Argentina,2–0,5–0,1994 FIFA World Cup qualification
3,5 September 1993,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Argentina,4–0,5–0,1994 FIFA World Cup qualification
4,7 July 1995,"Estadio Atilio Paiva Olivera, Rivera, Uruguay",Peru,1–0,1–1,1995 Copa América
5,22 July 1995,"Estadio Domingo Burgueño, Maldonado, Uruguay",United States,3–0,4–1,1995 Copa América
6,28 March 1996,"Estadio Atanasio Girardot, Medellín, Colombia",Bolivia,3–1,4–1,Friendly
7,24 April 1996,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Paraguay,1–0,1–0,1998 FIFA World Cup qualification
8,29 May 1996,"Miami Orange Bowl, Miami, United States",Scotland,1–0,1–0,Friendly
9,7 July 1996,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Uruguay,1–0,3–1,1998 FIFA World Cup qualification
10,1 September 1996,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Chile,1–0,4–1,1998 FIFA World Cup qualification
11,1 September 1996,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Chile,2–0,4–1,1998 FIFA World Cup qualification
12,1 September 1996,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Chile,4–0,4–1,1998 FIFA World Cup qualification
13,9 October 1996,"Estadio Olímpico Atahualpa, Quito, Ecuador",Ecuador,1–0,1–0,1998 FIFA World Cup qualification
14,8 February 1997,"Estadio Hernán Ramírez Villegas, Pereira, Colombia",Slovakia,1–0,1–0,Friendly
15,20 August 1997,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Bolivia,3–0,3–0,1998 FIFA World Cup qualification
16,9 February 1999,"Miami Orange Bowl, Miami, United States",Germany,1–0,3–3,Friendly
17,9 February 1999,"Miami Orange Bowl, Miami, United States",Germany,2–2,3–3,Friendly
18,17 June 1999,"Estadio Palogrande, Manizales, Colombia",Peru,1–3,3–3,Friendly
19,17 June 1999,"Estadio Palogrande, Manizales, Colombia",Peru,2–3,3–3,Friendly
20,19 February 2000,"Miami Orange Bowl, Miami, United States",United States,1–1,2–2,2000 Gold Cup
