# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,DFB-Pokal Apps,DFB-Pokal Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
1. FC Saarbrücken,1974–75,2. Bundesliga Süd,38,12,1,0,—,—,—,—,39,12
1. FC Saarbrücken,1975–76,2. Bundesliga Süd,38,17,1,0,—,—,—,—,39,17
1. FC Saarbrücken,Total,Total,76,29,2,0,—,—,—,—,78,29
Hamburger SV,1976–77,Bundesliga,30,1,1,0,6,4,—,—,37,5
Hamburger SV,1977–78,Bundesliga,33,4,4,2,3,1,2,0,42,7
Hamburger SV,1978–79,Bundesliga,21,4,1,0,—,—,—,—,22,4
Hamburger SV,1979–80,Bundesliga,32,5,2,1,7,0,—,—,40,6
Hamburger SV,1980–81,Bundesliga,33,10,4,3,5,0,—,—,42,13
Hamburger SV,1981–82,Bundesliga,28,8,4,1,9,1,—,—,41,10
Hamburger SV,1982–83,Bundesliga,34,4,4,0,9,2,—,—,47,6
Hamburger SV,1983–84,Bundesliga,34,5,4,1,2,0,3,0,43,6
Hamburger SV,1984–85,Bundesliga,32,3,1,0,6,1,—,—,39,4
Hamburger SV,1985–86,Bundesliga,29,2,1,0,1,0,—,—,31,2
Hamburger SV,Total,Total,306,46,26,8,48,9,5,0,385,63
Career total,Career total,Career total,382,75,28,8,48,9,5,0,463,92
