# Table 2
Team,From,To,Record .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}M,Record W,Record D,Record L,Record GF,Record GA,Record GD,Record Win %,Record Ref.
Hamburg II,1 July 1993,5 October 1995,73,25,18,30,108,129,−21,34.25,
Hamburger SV,5 October 1995,18 May 1997,69,28,19,22,102,102,+0,40.58,
1. FC Nürnberg,1 September 1997,30 June 1998,29,16,8,5,43,21,+22,55.17,
Werder Bremen,22 October 1998,10 May 1999,26,9,7,10,30,34,−4,34.62,
Eintracht Frankfurt,27 December 1999,29 January 2001,37,15,5,17,49,59,−10,40.54,
VfB Stuttgart,23 February 2001,30 June 2004,147,73,37,37,220,151,+69,49.66,
Bayern Munich,1 July 2004,31 January 2007,131,84,25,22,264,128,+136,64.12,
VfL Wolfsburg,31 May 2007,30 June 2009,85,46,18,21,179,110,+69,54.12,
FC Schalke 04,1 July 2009,16 March 2011,79,42,16,21,117,76,+41,53.16,
Wolfsburg,18 March 2011,25 October 2012,52,18,10,24,69,87,−18,34.62,
Fulham,14 February 2014,18 September 2014,20,4,4,12,21,45,−24,20.0,
Shandong Luneng,8 June 2016,1 December 2017,51,20,15,16,76,31,+45,39.22,
Hertha BSC,13 March 2022,2 June 2022,9,3,1,5,10,12,−2,33.33,
Total,Total,Total,808,383,183,242,1290,1019,+271,47.4,—
