# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Valladolid,1987–88,La Liga,29,1,2,0,—,—,—,—,—,—,31,1
Valladolid,1988–89,La Liga,29,2,6,0,—,—,—,—,—,—,35,2
Valladolid,Total,Total,58,3,8,0,—,—,—,—,—,—,66,3
Real Madrid,1989–90,La Liga,37,7,5,0,—,—,4,0,—,—,46,7
Real Madrid,1990–91,La Liga,35,7,1,0,—,—,5,1,2,0,43,8
Real Madrid,1991–92,La Liga,37,21,7,3,—,—,9,2,—,—,53,26
Real Madrid,1992–93,La Liga,33,13,6,0,—,—,6,5,—,—,45,18
Real Madrid,1993–94,La Liga,34,10,3,0,—,—,4,1,3,1,44,12
Real Madrid,1994–95,La Liga,33,7,2,0,—,—,5,0,—,—,40,7
Real Madrid,1995–96,La Liga,31,7,2,0,—,—,5,1,2,1,40,9
Real Madrid,1996–97,La Liga,39,6,6,2,—,—,—,—,—,—,45,8
Real Madrid,1997–98,La Liga,28,3,1,0,—,—,10,3,1,0,40,6
Real Madrid,1998–99,La Liga,28,6,3,1,—,—,7,1,2,0,40,8
Real Madrid,1999–2000,La Liga,20,5,2,0,—,—,10,1,4,1,36,7
Real Madrid,2000–01,La Liga,29,5,1,0,—,—,12,1,1,0,43,6
Real Madrid,2001–02,La Liga,30,5,3,0,—,—,14,0,2,0,49,5
Real Madrid,2002–03,La Liga,25,0,1,1,—,—,10,0,2,0,38,1
Real Madrid,Total,Total,439,102,43,7,—,—,101,16,19,3,602,128
Al-Rayyan,2003–04,Qatar Stars League,19,3,0,0,—,—,—,—,—,—,19,3
Bolton Wanderers,2004–05,Premier League,29,1,4,0,2,0,—,—,—,—,35,1
Career total,Career total,Career total,545,109,55,7,2,0,101,16,19,3,722,135
