# List of international goals scored by Fernando Hierro
No.,Date,Venue,Opponent,Score,Result,Competition
1,19 December 1990,"Benito Villamarín, Seville, Spain",Albania,4–0,9–0,Euro 1992 qualifying
2,19 February 1992,"Luís Casanova, Valencia, Spain",CIS,1–1,1–1,Friendly
3,11 March 1992,"Nuevo José Zorrilla, Valladolid, Spain",United States,2–0,2–0,Friendly
4,22 April 1992,"Benito Villamarín, Seville, Spain",Albania,3–0,3–0,1994 World Cup qualification
5,28 April 1993,"Ramón Sánchez Pizjuán, Seville, Spain",Northern Ireland,3–1,3–1,1994 World Cup qualification
6,17 November 1993,"Ramón Sánchez Pizjuán, Seville, Spain",Denmark,1–0,1–0,1994 World Cup qualification
7,2 July 1994,"RFK Memorial Stadium, Washington, United States",Switzerland,1–0,3–0,1994 FIFA World Cup
8,17 December 1994,"Constant Vanden Stock, Brussels, Belgium",Belgium,1–1,4–1,Euro 1996 qualifying
9,7 June 1995,"Benito Villamarín, Seville, Spain",Armenia,1–0 (p),1–0,Euro 1996 qualifying
10,6 September 1995,"Nuevo Los Cármenes, Granada, Spain",Cyprus,5–0,6–0,Euro 1996 qualifying
11,11 October 1995,"Parken Stadium, Copenhagen, Denmark",Denmark,1–0 (p),1–1,Euro 1996 qualifying
12,4 September 1996,"Svangaskarð, Toftir, Faroe Islands",Faroe Islands,5–1,6–2,1998 World Cup qualification
13,13 November 1996,"Heliodoro Rodríguez López, Santa Cruz de Tenerife, Spain",Slovakia,4–1,4–1,1998 World Cup qualification
14,30 April 1997,"Crvena Zvezda, Belgrade, Serbia",Yugoslavia,1–0 (p),1–1,1998 World Cup qualification
15,8 June 1997,"Nuevo José Zorrilla, Valladolid, Spain",Czech Republic,1–0 (p),1–0,1998 World Cup qualification
16,13 June 1998,"La Beaujoire, Nantes, France",Nigeria,1–0,2–3,1998 FIFA World Cup
17,24 June 1998,"Félix-Bollaert, Lens, France",Bulgaria,1–0 (p),6–1,1998 FIFA World Cup
18,14 October 1998,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,1–1,2–1,Euro 2000 qualifying
19,27 March 1999,"Mestalla, Valencia, Spain",Austria,4–0 (p),9–0,Euro 2000 qualifying
20,5 May 1999,"Ramón Sánchez Pizjuán, Seville, Spain",Croatia,2–1 (p),3–1,Friendly
21,5 June 1999,"El Madrigal, Villarreal, Spain",San Marino,1–0,9–0,Euro 2000 qualifying
22,4 September 1999,"Ernst-Happel, Vienna, Austria",Austria,2–1,3–1,Euro 2000 qualifying
23,8 September 1999,"Nuevo Vivero, Badajoz, Spain",Cyprus,8–0,8–0,Euro 2000 qualifying
24,7 October 2000,"Santiago Bernabéu, Madrid, Spain",Israel,2–0,2–0,2002 World Cup qualification
25,15 November 2000,"La Cartuja, Seville, Spain",Netherlands,1–0,1–2,Friendly
26,24 March 2001,"José Rico Pérez, Alicante, Spain",Liechtenstein,3–0 (p),5–0,2002 World Cup qualification
27,2 June 2001,"Carlos Tartiere, Oviedo, Spain",Bosnia and Herzegovina,1–0,4–1,2002 World Cup qualification
28,2 June 2002,"Gwangju World Cup Stadium, Gwangju, South Korea",Slovenia,3–1 (p),3–1,2002 FIFA World Cup
29,7 June 2002,"Jeonju World Cup Stadium, Jeonju, South Korea",Paraguay,3–1 (p),3–1,2002 FIFA World Cup
