# List of international goals scored by Fernando Morientes
No.,Date,Venue,Opponent,Score,Result,Competition
1,25 March 1998,"Balaídos, Vigo, Spain",Sweden,1–0,4–0,Friendly
2,25 March 1998,"Balaídos, Vigo, Spain",Sweden,2–0,4–0,Friendly
3,3 June 1998,"El Sardinero, Santander, Spain",Northern Ireland,3–1,4–1,Friendly
4,3 June 1998,"El Sardinero, Santander, Spain",Northern Ireland,4–1,4–1,Friendly
5,24 June 1998,"Félix Bollaert, Lens, France",Bulgaria,3–0,6–1,1998 FIFA World Cup
6,24 June 1998,"Félix Bollaert, Lens, France",Bulgaria,4–1,6–1,1998 FIFA World Cup
7,5 September 1998,"Antonis Papadopoulos, Larnaca, Cyprus",Cyprus,2–3,2–3,Euro 2000 qualifying
8,18 August 1999,"Polish Army, Warsaw, Poland",Poland,1–1,2–1,Friendly
9,10 October 1999,"Carlos Belmonte, Albacete, Spain",Israel,1–0,3–0,Euro 2000 qualifying
10,28 March 2001,"Mestalla, Valencia, Spain",France,2–0,2–1,Friendly
11,1 September 2001,"Mestalla, Valencia, Spain",Austria,2–0,4–1,2002 World Cup qualification
12,1 September 2001,"Mestalla, Valencia, Spain",Austria,3–0,4–1,2002 World Cup qualification
13,13 February 2002,"Lluís Companys, Barcelona, Spain",Portugal,1–1,1–1,Friendly
14,17 April 2002,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,5–0,5–0,Friendly
15,7 June 2002,"Jeonju World Cup, Jeonju, South Korea",Paraguay,1–1,3–1,2002 FIFA World Cup
16,7 June 2002,"Jeonju World Cup, Jeonju, South Korea",Paraguay,2–1,3–1,2002 FIFA World Cup
17,16 June 2002,"Suwon World Cup, Suwon, South Korea",Republic of Ireland,1–0,1–1,2002 FIFA World Cup
18,30 April 2003,"Vicente Calderón, Madrid, Spain",Ecuador,2–0,4–0,Friendly
19,30 April 2003,"Vicente Calderón, Madrid, Spain",Ecuador,3–0,4–0,Friendly
20,30 April 2003,"Vicente Calderón, Madrid, Spain",Ecuador,4–0,4–0,Friendly
21,31 March 2004,"El Molinón, Gijón, Spain",Denmark,1–0,2–0,Friendly
22,5 June 2004,"Alfonso Pérez, Getafe, Spain",Andorra,1–0,4–0,Friendly
23,16 June 2004,"Bessa, Porto, Portugal",Greece,1–0,1–1,UEFA Euro 2004
24,18 August 2004,"Gran Canaria, Las Palmas, Spain",Venezuela,1–0,3–2,Friendly
25,3 September 2005,"El Sardinero, Santander, Spain",Canada,2–0,2–1,Friendly
26,12 November 2005,"Vicente Calderón, Madrid, Spain",Slovakia,5–1,5–1,2006 World Cup qualification
27,24 March 2007,"Santiago Bernabéu, Madrid, Spain",Denmark,1–0,2–1,Euro 2008 qualifying
