# List of international goals scored by Filippo Inzaghi
No.,Date,Venue,Opponent,Score,Result,Competition
1,18 October 1998,"Salerno, Italy",Spain,1–0,2–2,Friendly
2,18 October 1998,"Salerno, Italy",Spain,2–1,2–2,Friendly
3,16 December 1998,"Rome, Italy",World Stars,1–0,6–2,Friendly
4,27 March 1999,"Copenhagen, Denmark",Denmark,1–0,2–1,UEFA Euro 2000 qualifying
5,31 March 1999,"Ancona, Italy",Belarus,1–1,1–1,UEFA Euro 2000 qualifying
6,5 June 1999,"Bologna, Italy",Wales,2–0,4–0,UEFA Euro 2000 qualifying
7,11 June 2000,"Arnhem, Netherlands",Turkey,2–1,2–1,UEFA Euro 2000
8,24 June 2000,"Brussels, Belgium",Romania,2–0,2–0,UEFA Euro 2000
9,3 September 2000,"Budapest, Hungary",Hungary,1–0,2–2,2002 FIFA World Cup qualification
10,3 September 2000,"Budapest, Hungary",Hungary,2–1,2–2,2002 FIFA World Cup qualification
11,7 October 2000,"Milan, Italy",Romania,1–0,3–0,2002 FIFA World Cup qualification
12,24 March 2001,"Bucharest, Romania",Romania,1–0,2–0,2002 FIFA World Cup qualification
13,24 March 2001,"Bucharest, Romania",Romania,2–0,2–0,2002 FIFA World Cup qualification
14,28 March 2001,"Trieste, Italy",Lithuania,1–0,4–0,2002 FIFA World Cup qualification
15,28 March 2001,"Trieste, Italy",Lithuania,3–0,4–0,2002 FIFA World Cup qualification
16,6 September 2003,"Milan, Italy",Wales,1–0,4–0,UEFA Euro 2004 qualifying
17,6 September 2003,"Milan, Italy",Wales,2–0,4–0,UEFA Euro 2004 qualifying
18,6 September 2003,"Milan, Italy",Wales,3–0,4–0,UEFA Euro 2004 qualifying
19,10 September 2003,"Belgrade, Serbia",Serbia and Montenegro,1–0,1–1,UEFA Euro 2004 qualifying
20,11 October 2003,"Reggio Calabria, Italy",Azerbaijan,2–0,4–0,UEFA Euro 2004 qualifying
21,11 October 2003,"Reggio Calabria, Italy",Azerbaijan,4–0,4–0,UEFA Euro 2004 qualifying
22,22 June 2006,"Hamburg, Germany",Czech Republic,2–0,2–0,2006 FIFA World Cup
23,2 September 2006,"Naples, Italy",Lithuania,1–1,1–1,UEFA Euro 2008 qualifying
24,2 June 2007,"Tórshavn, Faroe Islands",Faroe Islands,1–0,2–1,UEFA Euro 2008 qualifying
25,2 June 2007,"Tórshavn, Faroe Islands",Faroe Islands,2–0,2–1,UEFA Euro 2008 qualifying
