# Managerial record by team and tenure
Team,From,To,Record .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}G,Record W,Record D,Record L,Record GF,Record GA,Record GD,Record Win %
AC Milan,9 June 2014,16 June 2015,40,14,13,13,58,52,+6,35.0
Venezia,7 June 2016,11 June 2018,95,47,31,17,138,88,+50,49.47
Bologna,13 June 2018,28 January 2019,24,4,8,12,21,36,−15,16.67
Benevento,22 June 2019,24 May 2021,78,33,20,25,112,110,+2,42.31
Brescia,9 June 2021,23 March 2022,32,14,13,5,50,34,+16,43.75
Reggina,12 July 2022,31 August 2023,40,17,4,19,49,47,+2,42.5
Salernitana,10 October 2023,11 February 2024,18,3,4,11,21,36,−15,16.67
Pisa,31 July 2024,13 June 2025,40,24,7,9,67,37,+30,60.0
Palermo,17 June 2025,present,7,3,3,1,8,4,+4,42.86
Total,Total,Total,374,159,103,112,524,444,+80,42.51
