# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lazio,1993–94,Serie A,2,0,0,0,0,0,–,–,2,0
Lazio,1994–95,Serie A,11,0,1,0,0,0,–,–,12,0
Lazio,1995–96,Serie A,23,0,2,0,3,0,–,–,28,0
Lazio,1996–97,Serie A,25,0,4,0,4,0,–,–,33,0
Lazio,1997–98,Serie A,30,0,9,1,10,1,–,–,49,2
Lazio,1998–99,Serie A,20,1,2,0,4,0,–,–,26,1
Lazio,1999–2000,Serie A,28,0,2,0,9,0,1,0,40,0
Lazio,2000–01,Serie A,29,0,1,0,8,0,1,0,39,0
Lazio,2001–02,Serie A,25,0,1,0,6,0,–,–,32,0
Lazio,Total,Total,193,1,22,1,44,1,2,0,261,3
AC Milan,2002–03,Serie A,29,1,5,1,14,0,–,–,48,2
AC Milan,2003–04,Serie A,26,0,4,1,6,0,2,0,38,1
AC Milan,2004–05,Serie A,29,0,3,0,12,0,1,0,45,0
AC Milan,2005–06,Serie A,30,1,2,0,10,0,–,–,42,1
AC Milan,2006–07,Serie A,14,0,0,0,8,0,–,–,22,0
AC Milan,2007–08,Serie A,29,1,0,0,7,0,3,1,39,2
AC Milan,2008–09,Serie A,1,0,0,0,0,0,–,–,1,0
AC Milan,2009–10,Serie A,23,3,0,0,7,0,–,–,30,3
AC Milan,2010–11,Serie A,26,0,2,0,7,0,–,–,35,0
AC Milan,2011–12,Serie A,17,1,1,0,7,0,1,0,26,1
AC Milan,Total,Total,224,7,17,2,78,0,7,1,326,10
Montreal Impact,2012,MLS,8,0,–,–,–,–,–,–,8,0
Montreal Impact,2013,MLS,23,0,2,0,1,0,–,–,26,0
Montreal Impact,Total,Total,31,0,2,0,1,0,0,0,34,0
Chennaiyin,2014,Indian Super League,3,0,—,—,—,—,—,—,3,0
Career total,Career total,Career total,451,8,41,3,123,1,9,1,624,13
