# Table 1
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1988–89,Eredivisie,27,0,2.0,0.0,–,–,,,–,–,29,0
Ajax,1989–90,Eredivisie,25,0,3.0,0.0,–,–,1.0,0.0,–,–,29,0
Ajax,1990–91,Eredivisie,34,1,2.0,0.0,–,–,,,–,–,36,1
Ajax,1991–92,Eredivisie,30,1,3.0,0.0,–,–,12.0,0.0,–,–,45,1
Ajax,1992–93,Eredivisie,34,3,5.0,1.0,–,–,8.0,1.0,–,–,47,3
Ajax,1993–94,Eredivisie,34,1,4.0,2.0,–,–,6.0,1.0,1,1,45,5
Ajax,1994–95,Eredivisie,34,9,3.0,0.0,–,–,10.0,2.0,1,0,48,11
Ajax,1995–96,Eredivisie,32,3,2.0,0.0,–,–,9.0,1.0,1,1,44,5
Ajax,1996–97,Eredivisie,32,4,0.0,0.0,–,–,9.0,0.0,1,0,42,4
Ajax,1997–98,Eredivisie,31,5,5.0,2.0,–,–,8.0,2.0,–,–,44,9
Ajax,1998–99,Eredivisie,15,3,1.0,0.0,–,–,6.0,0.0,–,–,22,3
Ajax,Total,Total,328,30,30.0,5.0,0,0,69.0,7.0,4,2,431,44
Barcelona,1998–99,La Liga,19,2,4.0,2.0,–,–,,,–,–,23,4
Barcelona,1999–2000,La Liga,22,0,7.0,0.0,–,–,12.0,2.0,2,0,43,2
Barcelona,2000–01,La Liga,34,3,7.0,1.0,–,–,11.0,1.0,–,–,52,5
Barcelona,2001–02,La Liga,34,0,0.0,0.0,–,–,13.0,0.0,–,–,47,0
Barcelona,2002–03,La Liga,35,0,1.0,0.0,–,–,14.0,3.0,–,–,50,3
Barcelona,Total,Total,144,5,19.0,3.0,0,0,50.0,6.0,2,0,215,14
Galatasaray,2003–04,Süper Lig,15,1,0.0,0.0,0,0,6.0,0.0,–,–,21,1
Rangers,2003–04,Scottish Premier League,15,2,1.0,0.0,1,0,,,–,–,17,2
Al-Rayyan,2004–05,Qatar Stars League,16,5,,,,,,,–,–,16,5
Al-Shamal,2005–06,Qatar Stars League,1,0,,,,,,,–,–,1,0
Career total,Career total,Career total,519,43,50.0,8.0,1,0,125.0,13.0,6,2,701,66
