# Table 3
Goal,Date,Venue,Opponent,Score,Result,Competition
1.0,5 June 1991,"Helsingin olympiastadion, Helsinki, Finland",Finland,1–0,1–1,UEFA Euro 1992 qualifying
2.0,9 November 1996,"Philips Stadion, Eindhoven, Netherlands",Wales,4–1,7–1,1998 FIFA World Cup qualification
3.0,29 March 1997,"Amsterdam Arena, Amsterdam, Netherlands",San Marino,2–0,4–0,1998 FIFA World Cup qualification
4.0,29 March 1997,"Amsterdam Arena, Amsterdam, Netherlands",San Marino,4–0,4–0,1998 FIFA World Cup qualification
5.0,30 April 1997,"Stadio Olimpico, Serravalle, San Marino",San Marino,4–0,6–0,1998 FIFA World Cup qualification
6.0,1 June 1998,"Philips Stadion, Eindhoven, Netherlands",Paraguay,4–1,5–1,Friendly
7.0,4 June 2000,"Stade Olympique de la Pontaise, Lausanne, Switzerland",Poland,1–0,3–1,Friendly
8.0,11 June 2000,"Amsterdam Arena, Amsterdam, Netherlands",Czech Republic,1–0,1–0,UEFA Euro 2000
9.0,21 June 2000,"Amsterdam Arena, Amsterdam, Netherlands",France,2–2,3–2,UEFA Euro 2000
10.0,15 November 2000,"Estadio Olímpico, Seville, Spain",Spain,2–1,2–1,Friendly
11.0,2 June 2001,"Lilleküla staadion, Tallinn, Estonia",Estonia,1–0,4–2,2002 FIFA World Cup qualification
12.0,27 March 2002,"Stadion Feijenoord, Rotterdam, Netherlands",Spain,1–0,1–0,Friendly
13.0,19 November 2003,"Amsterdam Arena, Amsterdam, Netherlands",Scotland,5–0,6–0,UEFA Euro 2004 qualifying
