# List of international goals scored by Frank Rijkaard
No.,Date,Venue,Opponent,Score,Result,Competition
1,17 December 1983,"De Kuip, Rotterdam, Netherlands",Malta,3–0,5–0,UEFA Euro 1984 qualifier
2,17 December 1983,"De Kuip, Rotterdam, Netherlands",Malta,5–0,5–0,UEFA Euro 1984 qualifier
3,3 June 1990,"Stadion Maksimir, Zagreb, Yugoslavia",Yugoslavia,1–0,2–0,Friendly
4,27 May 1992,"De Baandert, Sittard, Netherlands",Austria,1–0,3–2,Friendly
5,18 June 1992,"Ullevi, Gothenburg, Sweden",Germany,1–0,3–1,UEFA Euro 1992
6,22 June 1992,"Ullevi, Gothenburg, Sweden",Denmark,2–2,2–2,UEFA Euro 1992
7,19 January 1994,"Stade El Menzah, Tunis, Tunisia",Tunisia,1–1,2–2,Friendly
8,1 June 1994,"De Kuip, Rotterdam, Netherlands",Hungary,5–1,7–1,Friendly
9,1 June 1994,"De Kuip, Rotterdam, Netherlands",Hungary,6–1,7–1,Friendly
10,12 June 1994,"Varsity Stadium, Toronto, Canada",Canada,3–0,3–0,Friendly
