# List of international goals scored by Frank Stapleton
No.,Date,Venue,Opponent,Score,Result,Competition
1,13 October 1976,"19 Mayıs Stadium, Ankara, Turkey",Turkey,1–0,3–3,Friendly
2,24 May 1978,"Idrætsparken, Copenhagen, Denmark",Denmark,1–0,3–3,UEFA Euro 1980 qualifying
3,17 October 1979,"Lansdowne Road, Dublin, Ireland",Bulgaria,3–0,3–0,UEFA Euro 1980 qualifying
4,19 November 1980,"Lansdowne Road, Dublin, Ireland",Cyprus,5–0,6–0,1982 FIFA World Cup qualification
5,29 April 1981,"Lansdowne Road, Dublin, Ireland",Czechoslovakia,3–1,3–1,Friendly
6,9 September 1981,"De Kuip, Rotterdam, Netherlands",Netherlands,2–2,2–2,1982 FIFA World Cup qualification
7,14 October 1981,"Lansdowne Road, Dublin, Ireland",France,2–1,3–2,1982 FIFA World Cup qualification
8,13 October 1982,"Lansdowne Road, Dublin, Ireland",Iceland,1–0,2–0,UEFA Euro 1984 qualifying
9,17 November 1982,"Lansdowne Road, Dublin, Ireland",Spain,2–3,3–3,UEFA Euro 1984 qualifying
10,17 November 1982,"Lansdowne Road, Dublin, Ireland",Spain,3–3,3–3,UEFA Euro 1984 qualifying
11,30 March 1983,"National Stadium, Ta' Qali, Malta",Malta,1–0,1–0,UEFA Euro 1984 qualifying
12,16 November 1983,"Dalymount Park, Dublin, Ireland",Malta,2–0,8–0,UEFA Euro 1984 qualifying
13,2 June 1985,"Lansdowne Road, Dublin, Ireland",Switzerland,1–0,3–0,1986 FIFA World Cup qualification
14,13 November 1985,"Lansdowne Road, Dublin, Ireland",Denmark,1–0,1–4,1986 FIFA World Cup qualification
15,27 May 1986,"Laugardalsvöllur, Reykjavík, Iceland",Czechoslovakia,1–0,1–0,Iceland Triangular Tournament
16,10 September 1986,"Constant Vanden Stock Stadium, Brussels, Belgium",Belgium,1–1,2–2,UEFA Euro 1988 qualifying
17,1 April 1987,"Vasil Levski National Stadium, Sofia, Bulgaria",Bulgaria,1–1,1–2,UEFA Euro 1988 qualifying
18,9 September 1987,"Lansdowne Road, Dublin, Ireland",Luxembourg,1–1,2–1,UEFA Euro 1988 qualifying
19,6 September 1989,"Lansdowne Road, Dublin, Ireland",West Germany,1–0,1–1,Friendly
20,2 June 1990,"National Stadium, Ta' Qali, Malta",Malta,3–0,3–0,Friendly
