# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Halmstad,1994,Allsvenskan,1,0,—,—,—,—,—,—,—,—,1,0
Halmstad,1995,Allsvenskan,16,1,—,—,—,—,4,0,—,—,20,1
Halmstad,1996,Allsvenskan,20,2,—,—,—,—,3,0,—,—,23,2
Halmstad,1997,Allsvenskan,24,5,—,—,—,—,4,1,—,—,28,6
Halmstad,1998,Allsvenskan,18,2,—,—,—,—,2,0,—,—,20,2
Halmstad,Total,Total,79,10,—,—,—,—,13,1,—,—,92,11
Arsenal,1998–99,Premier League,16,1,3,0,2,0,—,—,—,—,21,1
Arsenal,1999–2000,Premier League,26,6,2,0,—,—,14,2,—,—,42,8
Arsenal,2000–01,Premier League,30,6,5,1,—,—,13,2,—,—,48,9
Arsenal,2001–02,Premier League,25,12,5,2,—,—,9,3,—,—,39,17
Arsenal,2002–03,Premier League,20,6,4,1,—,—,8,2,—,—,32,9
Arsenal,2003–04,Premier League,30,4,4,4,—,—,9,2,—,—,43,10
Arsenal,2004–05,Premier League,26,10,6,2,—,—,6,2,—,—,38,14
Arsenal,2005–06,Premier League,25,1,1,0,1,0,9,1,—,—,36,2
Arsenal,2006–07,Premier League,18,0,3,1,—,—,5,1,—,—,26,2
Arsenal,Total,Total,216,46,33,11,3,0,73,15,—,—,325,72
West Ham United,2007–08,Premier League,25,2,1,0,2,0,—,—,—,—,28,2
Seattle Sounders FC,2009,Major League Soccer,22,2,1,0,2,0,—,—,—,—,25,2
Seattle Sounders FC,2010,Major League Soccer,15,0,—,—,—,—,—,—,—,—,15,0
Seattle Sounders FC,Total,Total,37,2,1,0,2,0,—,—,—,—,40,2
Chicago Fire,2010,Major League Soccer,15,2,—,—,—,—,—,—,—,—,15,2
Celtic,2010–11,Scottish Premier League,7,0,1,0,—,—,—,—,—,—,8,0
Shimizu S-Pulse,2011,J.League,8,0,—,—,—,—,—,—,—,—,8,0
Mumbai City,2014,Indian Super League,4,0,—,—,—,—,—,—,—,—,4,0
Career total,Career total,Career total,391,62,36,11,7,0,86,16,—,—,520,89
