# Table 1
Club,Season,League Division,League Apps,League Goals
1. FC Kaiserslautern,1939–40,Gauliga Südwest/Mainhessen,15,21
1. FC Kaiserslautern,1940–41,Gauliga Südwest/Mainhessen,12,16
1. FC Kaiserslautern,1941–42,Gauliga Südwest/Mainhessen,14,39
1. FC Kaiserslautern,1942–43,Gauliga Südwest/Mainhessen,3,1
1. FC Kaiserslautern,1945–46,Oberliga Südwest,14,16
1. FC Kaiserslautern,1946–47,Oberliga Südwest,14,22
1. FC Kaiserslautern,1947–47,Oberliga Südwest,24,31
1. FC Kaiserslautern,1948–49,Oberliga Südwest,22,30
1. FC Kaiserslautern,1949–50,Oberliga Südwest,26,34
1. FC Kaiserslautern,1950–51,Oberliga Südwest,19,5
1. FC Kaiserslautern,1951–52,Oberliga Südwest,27,19
1. FC Kaiserslautern,1952–53,Oberliga Südwest,30,38
1. FC Kaiserslautern,1953–54,Oberliga Südwest,29,20
1. FC Kaiserslautern,1954–55,Oberliga Südwest,21,10
1. FC Kaiserslautern,1955–56,Oberliga Südwest,25,16
1. FC Kaiserslautern,1956–57,Oberliga Südwest,21,15
1. FC Kaiserslautern,1957–58,Oberliga Südwest,26,5
1. FC Kaiserslautern,1958–59,Oberliga Südwest,22,10
Total,Total,Total,364,348
