# List of international goals scored by Fritz Walter
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,14 July 1940,"Frankfurt, Germany",Romania,4–0,9–3,Friendly,
2,14 July 1940,"Frankfurt, Germany",Romania,8–2,9–3,Friendly,
3,14 July 1940,"Frankfurt, Germany",Romania,9–3,9–3,Friendly,
4,1 September 1940,"Leipzig, Germany",Finland,–,13–0,Friendly,
5,1 September 1940,"Leipzig, Germany",Finland,–,13–0,Friendly,
6,9 March 1941,"Stuttgart, Germany",Switzerland,–,4–2,Friendly,
7,6 April 1941,"Cologne, Germany",Hungary,–,7–0,Friendly,
8,1 June 1941,"Stadionul Republicii, Bucharest, Romania",Romania,2–0,4–1,Friendly,
9,15 June 1941,"Vienna, Austria",Croatia,–,5–1,Friendly,
10,15 June 1941,"Vienna, Austria",Croatia,–,5–1,Friendly,
11,5 October 1941,"Råsunda Stadium, Stockholm, Sweden",Sweden,2–4,2–4,Friendly,
12,7 December 1941,"Wrocław, Poland",Slovakia,–,4–0,Friendly,
13,3 May 1942,"Népstadion, Budapest, Hungary",Hungary,1–0,5–3,Friendly,
14,3 May 1942,"Népstadion, Budapest, Hungary",Hungary,3–3,5–3,Friendly,
15,16 August 1942,"Bytom, Poland",Romania,1–0,7–0,Friendly,
16,16 August 1942,"Bytom, Poland",Romania,2–0,7–0,Friendly,
17,16 August 1942,"Bytom, Poland",Romania,3–0,7–0,Friendly,
18,18 October 1942,"Wankdorf Stadium, Bern, Switzerland",Switzerland,–,5–3,Friendly,
19,1 November 1942,"Neckarstadion, Stuttgart, Germany",Croatia,2–0,5–1,Friendly,
20,15 April 1951,"Letzigrund, Zurich, Switzerland",Switzerland,–,3–2,Friendly,
21,17 October 1951,"Dalymount Park, Dublin, Republic of Ireland",Republic of Ireland,2–2,2–3,Friendly,
22,9 November 1952,"Rosenaustadion, Augsburg, Germany",Switzerland,–,5–1,Friendly,
23,21 December 1952,"Südweststadion, Ludwigshafen, Germany",Yugoslavia,–,3–2,Friendly,
24,19 August 1953,"Ullevaal Stadion, Oslo, Norway",Norway,1–1,1–1,1954 FIFA World Cup qualification,
25,22 November 1953,"Volksparkstadion, Hamburg, Germany",Norway,3–1,5–1,1954 FIFA World Cup qualification,
26,25 April 1954,"St. Jakob Stadium, Basel, Switzerland",Switzerland,–,5–3,Friendly,
27,25 April 1954,"St. Jakob Stadium, Basel, Switzerland",Switzerland,–,5–3,Friendly,
28,23 June 1954,"Letzigrund, Zurich, Switzerland",Turkey,6–1,7–2,1954 FIFA World Cup,
29,30 June 1954,"St. Jakob Stadium, Basel, Switzerland",Austria,3–1,6–1,1954 FIFA World Cup,
30,30 June 1954,"St. Jakob Stadium, Basel, Switzerland",Austria,5–1,6–1,1954 FIFA World Cup,
31,21 August 1955,"Central Dynamo Stadium, Moscow, USSR",Soviet Union,–,2–3,Friendly,
32,16 November 1955,"Wildparkstadion, Karlsruhe, Germany",Norway,–,2–0,Friendly,
33,26 May 1956,"Olympiastadion, Berlin, Germany",England,1–3,1–3,Friendly,
