# Appearances and goals by club, season and competition
Club,Season,Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Newell's,1988–89,Primera División,24,7,—,—,4,1,—,—,28,8
River Plate,1989–90,Primera División,21,4,—,—,2,0,—,—,23,4
Boca Juniors,1990–91,Primera División,34,13,—,—,12,6,—,—,46,19
Fiorentina,1991–92,Serie A,27,13,3,1,—,—,—,—,30,14
Fiorentina,1992–93,Serie A,32,16,3,3,—,—,—,—,35,19
Fiorentina,1993–94,Serie B,26,16,3,3,—,—,—,—,29,19
Fiorentina,1994–95,Serie A,32,26,5,2,—,—,—,—,37,28
Fiorentina,1995–96,Serie A,31,19,8,8,—,—,—,—,39,27
Fiorentina,1996–97,Serie A,32,13,1,0,7,4,1,2,41,19
Fiorentina,1997–98,Serie A,31,21,5,3,—,—,—,—,36,24
Fiorentina,1998–99,Serie A,28,21,9,4,4,1,—,—,41,26
Fiorentina,1999–2000,Serie A,30,23,2,0,11,6,—,—,43,29
Fiorentina,Total,Total,269,167,39,24,22,10,1,2,331,204
Roma,2000–01,Serie A,28,20,0,0,4,1,—,—,32,21
Roma,2001–02,Serie A,23,6,0,0,11,0,1,0,35,6
Roma,2002–03,Serie A,12,4,2,1,6,1,—,—,20,6
Roma,Total,Total,63,30,2,1,21,2,1,0,87,33
Inter Milan (loan),2002–03,Serie A,12,2,—,—,—,—,—,—,12,2
Al-Arabi,2003–04,Qatar Stars League,18,25,2,1,—,—,—,—,20,26
Al-Arabi,2004–05,Qatar Stars League,3,0,1,1,—,—,—,—,4,1
Al-Arabi,Total,Total,21,25,3,2,—,—,—,—,24,27
Career total,Career total,Career total,444,248,44,27,61,20,2,2,551,297
