# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Botafogo,1953,Campeonato Carioca,26,20,,,,,0,0,26,20
Botafogo,1954,Campeonato Carioca,27,1,,,,,9,8,36,9
Botafogo,1955,Campeonato Carioca,19,3,,,,,9,2,28,5
Botafogo,1956,Campeonato Carioca,20,5,,,,,0,0,20,5
Botafogo,1957,Campeonato Carioca,21,6,,,,,9,2,30,8
Botafogo,1958,Campeonato Carioca,26,9,,,,,9,1,35,10
Botafogo,1959,Campeonato Carioca,24,9,,,,,5,3,29,12
Botafogo,1960,Campeonato Carioca,21,9,,,,,9,1,30,10
Botafogo,1961,Campeonato Carioca,21,6,,,,,11,2,32,8
Botafogo,1962,Campeonato Carioca / Taça Brasil,20 / 5,8 / 0,,,,,7,2,32,10
Botafogo,1963,Campeonato Carioca,3,1,,,2.0,0.0,1,0,7,1
Botafogo,1964,Campeonato Carioca,4,0,,,,,7,3,11,3
Botafogo,1965,Campeonato Carioca,1,0,,,,,7,0,8,0
Botafogo,Total,Total,238,84,,,2.0,0.0,83,17,323,101
Corinthians,1966,Campeonato Paulista,4,0,,,,,6,1,10,1
Atlético Junior,1968,Categoría Primera A,1,0,,,,,–,–,1,0
Flamengo,1968,Torneio Roberto Gomes Pedrosa,1,0,,,,,,,1,0
Flamengo,1969,Campeonato Carioca,4,0,,,,,,,4,0
Flamengo,Total,Total,5,0,,,,,,,5,0
Olaria,1972,Campeonato Carioca,6,0,,,,,,,6,0
Career total,Career total,Career total,254,84,,,2.0,0.0,89,18,345,102
