# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FΑ Cup Apps,FΑ Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,1992–93,Premier League,0,0,0,0,0,0,1,0,–,–,1,0
Manchester United,1993–94,Premier League,1,0,0,0,0,0,1,0,0,0,2,0
Manchester United,1994–95,Premier League,18,0,4,0,3,0,2,0,0,0,27,0
Manchester United,1995–96,Premier League,31,0,6,0,1,0,1,0,–,–,39,0
Manchester United,1996–97,Premier League,31,1,3,0,1,0,10,0,1,0,46,1
Manchester United,1997–98,Premier League,34,0,3,0,0,0,8,0,0,0,45,0
Manchester United,1998–99,Premier League,34,1,7,0,0,0,12,0,1,0,54,1
Manchester United,1999–2000,Premier League,22,0,–,–,0,0,9,0,4,0,35,0
Manchester United,2000–01,Premier League,32,1,2,0,0,0,14,0,1,0,49,1
Manchester United,2001–02,Premier League,34,0,2,0,0,0,14,0,1,0,51,0
Manchester United,2002–03,Premier League,26,0,3,0,5,0,10,1,–,–,44,1
Manchester United,2003–04,Premier League,30,2,4,0,1,0,7,0,0,0,42,2
Manchester United,2004–05,Premier League,22,0,4,0,1,0,7,1,1,0,35,1
Manchester United,2005–06,Premier League,25,0,3,0,5,0,4,0,–,–,37,0
Manchester United,2006–07,Premier League,24,0,3,0,0,0,6,0,–,–,33,0
Manchester United,2007–08,Premier League,0,0,0,0,0,0,1,0,0,0,1,0
Manchester United,2008–09,Premier League,16,0,2,0,3,0,4,0,4,0,29,0
Manchester United,2009–10,Premier League,17,0,1,0,4,0,6,0,0,0,28,0
Manchester United,2010–11,Premier League,3,0,0,0,1,0,0,0,0,0,4,0
Total,Total,Total,400,5,47,0,25,0,117,2,13,0,602,7
