# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Perugia,1995–96,Serie B,2,0,0,0,–,–,–,–,2,0
Perugia,1996–97,Serie A,8,0,0,0,–,–,–,–,8,0
Perugia,Total,Total,10,0,0,0,—,—,—,—,10,0
Rangers,1997–98,Scottish Premier Division,29,3,6,0,2,1,3,0,40,4
Rangers,1998–99,Scottish Premier League,5,0,0,0,5,1,1,0,11,1
Rangers,Total,Total,34,3,4,0,7,2,4,0,51,5
Salernitana,1998–99,Serie A,25,0,0,0,–,–,–,–,25,0
AC Milan,1999–2000,Serie A,22,1,1,0,5,0,–,–,28,1
AC Milan,2000–01,Serie A,24,0,2,0,10,0,–,–,36,0
AC Milan,2001–02,Serie A,32,0,5,0,10,0,–,–,47,0
AC Milan,2002–03,Serie A,25,0,3,0,14,0,–,–,42,0
AC Milan,2003–04,Serie A,33,1,2,0,7,1,3,0,45,2
AC Milan,2004–05,Serie A,32,0,2,0,11,0,1,0,46,0
AC Milan,2005–06,Serie A,35,3,3,0,11,0,–,–,49,3
AC Milan,2006–07,Serie A,30,1,4,0,13,0,–,–,47,1
AC Milan,2007–08,Serie A,31,1,1,0,8,0,3,0,43,1
AC Milan,2008–09,Serie A,12,0,0,0,4,1,–,–,16,1
AC Milan,2009–10,Serie A,22,0,1,0,1,0,–,–,24,0
AC Milan,2010–11,Serie A,31,2,2,0,5,0,–,–,38,2
AC Milan,2011–12,Serie A,6,0,0,0,0,0,1,0,7,0
AC Milan,Total,Total,335,9,26,0,99,2,8,0,468,11
Sion,2012–13,Swiss Super League,27,1,5,0,–,–,–,–,32,1
Career total,Career total,Career total,431,13,37,0,106,4,12,0,586,17
