# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,2004–05,Premier League,0,0,1,0,1,0,1,0,0,0,3,0
Manchester United,2005–06,Premier League,3,0,2,0,2,0,0,0,—,—,7,0
Manchester United,2006–07,Premier League,0,0,0,0,0,0,0,0,—,—,0,0
Manchester United,2007–08,Premier League,9,0,0,0,1,0,3,2,0,0,13,2
Manchester United,Total,Total,12,0,3,0,4,0,4,2,0,0,23,2
Real Zaragoza (loan),2006–07,La Liga,22,2,6,1,—,—,—,—,—,—,28,3
Barcelona,2008–09,La Liga,25,1,6,1,—,—,14,1,0,0,45,3
Barcelona,2009–10,La Liga,32,2,1,0,—,—,12,2,4,0,49,4
Barcelona,2010–11,La Liga,31,3,7,0,—,—,12,1,1,0,51,4
Barcelona,2011–12,La Liga,22,2,8,0,—,—,5,0,3,0,38,2
Barcelona,2012–13,La Liga,28,2,4,1,—,—,10,0,2,0,44,3
Barcelona,2013–14,La Liga,26,2,2,0,—,—,9,2,2,0,39,4
Barcelona,2014–15,La Liga,27,5,6,1,—,—,11,1,—,—,44,7
Barcelona,2015–16,La Liga,30,2,5,2,—,—,8,1,3,0,46,5
Barcelona,2016–17,La Liga,25,2,7,0,—,—,8,1,1,0,41,3
Barcelona,2017–18,La Liga,30,2,8,1,—,—,9,1,2,0,49,4
Barcelona,2018–19,La Liga,35,4,5,0,—,—,11,2,1,1,52,7
Barcelona,2019–20,La Liga,35,1,2,0,—,—,7,0,1,0,45,1
Barcelona,2020–21,La Liga,18,0,2,1,—,—,3,2,0,0,23,3
Barcelona,2021–22,La Liga,27,1,2,0,—,—,10,2,1,0,40,3
Barcelona,2022–23,La Liga,6,0,—,—,—,—,4,0,—,—,10,0
Barcelona,Total,Total,397,29,65,7,—,—,133,15,21,1,616,52
Career total,Career total,Career total,431,31,74,8,4,0,137,17,21,1,667,57
