# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
FC Constanța,1982–83,Divizia A,18,7,0,0,—,—,—,—,18,7
Sportul Studențesc,1983–84,Divizia A,31,2,4,0,2,0,—,—,33,2
Sportul Studențesc,1984–85,Divizia A,30,20,2,1,2,0,—,—,32,20
Sportul Studențesc,1985–86,Divizia A,31,31,0,0,2,3,—,—,33,34
Sportul Studențesc,1986–87,Divizia A,16,5,1,0,4,1,—,—,20,6
Sportul Studențesc,Total,Total,108,58,7,1,10,4,—,—,125,63
Steaua București,1986–87,Divizia A,14,10,4,1,1,1,—,—,15,11
Steaua București,1987–88,Divizia A,31,25,4,2,8,4,—,—,39,29
Steaua București,1988–89,Divizia A,30,31,3,1,9,6,—,—,39,37
Steaua București,1989–90,Divizia A,22,10,0,0,3,1,—,—,25,11
Steaua București,Total,Total,97,76,11,4,21,12,—,—,129,92
Real Madrid,1990–91,La Liga,29,4,0,0,4,0,1,0,34,4
Real Madrid,1991–92,La Liga,35,12,5,1,10,3,—,—,50,16
Real Madrid,Total,Total,64,16,5,1,14,3,1,0,84,20
Brescia,1992–93,Serie A,31,5,2,1,—,—,—,—,33,6
Brescia,1993–94,Serie B,30,9,2,1,—,—,—,—,32,10
Brescia,Total,Total,61,14,4,2,—,—,—,—,65,16
Barcelona,1994–95,La Liga,17,4,2,1,2,0,2,0,23,5
Barcelona,1995–96,La Liga,19,3,4,0,5,3,—,—,28,6
Barcelona,Total,Total,36,7,6,1,7,3,2,0,51,11
Galatasaray,1996–97,1.Lig,30,14,1,0,3,1,2,0,36,17
Galatasaray,1997–98,1.Lig,30,8,6,0,6,1,0,0,42,8
Galatasaray,1998–99,1.Lig,28,14,4,1,8,3,—,—,40,18
Galatasaray,1999–2000,1.Lig,19,12,3,1,15,4,—,—,37,17
Galatasaray,2000–01,1.Lig,25,11,1,0,11,2,—,—,37,13
Galatasaray,Total,Total,132,59,15,2,43,10,2,0,192,73
Career total,Career total,Career total,516,237,48,11,95,33,5,0,664,281
