# List of international goals scored by Gheorghe Hagi
No.,Date,Venue,Opponent,Score,Result,Competition
1,12 September 1984,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,1–1,2–3,1986 FIFA World Cup qualification
2,30 January 1985,"Estádio José Alvalade, Lisbon, Portugal",Portugal,3–2,3–2,Friendly
3,3 April 1985,"Stadionul Central, Craiova, Romania",Turkey,1–0,3–0,1986 FIFA World Cup qualification
4,6 June 1985,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,1–0,1–1,1986 FIFA World Cup qualification
5,28 August 1985,"Stadionul 1 Mai, Timișoara, Romania",Finland,1–0,2–0,1986 FIFA World Cup qualification
6,23 April 1986,"Stadionul 1 Mai, Timișoara, Romania",Soviet Union,1–0,2–1,Friendly
7,20 August 1986,"Ullevaal Stadion, Oslo, Norway",Norway,2–0,2–2,Friendly
8,10 September 1986,"Stadionul Steaua, Bucharest, Romania",Austria,4–0,4–1,UEFA Euro 1988 qualifying
9,11 March 1987,"Karaiskakis Stadium, Piraeus, Greece",Greece,1–1,1–1,Friendly
10,25 March 1987,"Stadionul Steaua, Bucharest, Romania",Albania,3–1,5–1,UEFA Euro 1988 qualifying
11,20 September 1988,"Stadionul 1 Mai, Constanța, Romania",Albania,2–0,3–0,Friendly
12,2 November 1988,"Stadionul Steaua, Bucharest, Romania",Greece,2–0,3–0,1990 FIFA World Cup qualification
13,3 August 1990,"Stadion Allmend, Lucerne, Switzerland",Switzerland,1–0,1–2,Friendly
14,25 April 1990,"Kiryat Eliezer Stadium, Haifa, Israel",Israel,2–0,4–1,Friendly
15,27 March 1991,"Stadio Olimpico, Serravalle, San Marino",San Marino,1–0,3–1,UEFA Euro 1992 qualifying
16,16 October 1991,"Stadionul Steaua, Bucharest, Romania",Scotland,1–0,1–0,UEFA Euro 1992 qualifying
17,6 May 1992,"Stadionul Steaua, Bucharest, Romania",Faroe Islands,2–0,7–0,FIFA World Cup 1994 qualification
18,20 May 1992,"Stadionul Steaua, Bucharest, Romania",Wales,1–0,5–1,FIFA World Cup 1994 qualification
19,20 May 1992,"Stadionul Steaua, Bucharest, Romania",Wales,5–1,5–1,FIFA World Cup 1994 qualification
20,29 November 1992,"Neo GSZ Stadium, Larnaca, Cyprus",Cyprus,3–1,4–1,FIFA World Cup 1994 qualification
21,17 November 1993,"Cardiff Arms Park, Cardiff, Wales",Wales,1–0,2–1,FIFA World Cup 1994 qualification
22,14 June 1994,"Trabuco Hills Stadium, Mission Viejo, United States",Sweden,1–1,1–1,Friendly
23,18 June 1994,"Rose Bowl, Pasadena, United States",Colombia,2–0,3–1,1994 FIFA World Cup
24,22 June 1994,"Pontiac Silverdome, Pontiac, United States",Switzerland,1–1,1–4,1994 FIFA World Cup
25,3 July 1994,"Rose Bowl, Pasadena, United States",Argentina,3–1,3–2,1994 FIFA World Cup
26,12 November 1994,"Stadionul Steaua, Bucharest, Romania",Slovakia,2–0,3–2,UEFA Euro 1996 qualifying
27,15 October 1995,"Všešportový areál, Košice, Slovakia",Slovakia,1–0,2–0,UEFA Euro 1996 qualifying
28,9 October 1996,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,2–0,4–0,1998 FIFA World Cup qualification
29,29 March 1997,"Stadionul Steaua, Bucharest, Romania",Liechtenstein,4–0,8–0,1998 FIFA World Cup qualification
30,10 September 1997,"Stadionul Steaua, Bucharest, Romania",Iceland,1–0,4–0,1998 FIFA World Cup qualification
31,10 September 1997,"Stadionul Steaua, Bucharest, Romania",Iceland,4–0,4–0,1998 FIFA World Cup qualification
32,11 October 1997,"Lansdowne Road, Dublin, Ireland",Republic of Ireland,1–0,1–1,1998 FIFA World Cup qualification
33,3 June 1998,"Stadionul Steaua, Bucharest, Romania",Paraguay,3–2,3–2,Friendly
34,4 September 1999,"Tehelné pole, Bratislava, Slovakia",Slovakia,2–1,5–1,UEFA Euro 2000 qualifying
35,8 September 1999,"Stadionul Steaua, Bucharest, Romania",Portugal,1–0,1–1,UEFA Euro 2000 qualifying
