# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Inter Milan,1960–61,Serie A,3,1,–,–,1,0,4,1
Inter Milan,1961–62,Serie A,15,0,–,–,6,0,21,0
Inter Milan,1962–63,Serie A,31,4,2,0,–,–,33,4
Inter Milan,1963–64,Serie A,33,4,–,–,9,0,42,4
Inter Milan,1964–65,Serie A,32,2,3,0,6,1,41,3
Inter Milan,1965–66,Serie A,32,10,1,0,5,2,38,12
Inter Milan,1966–67,Serie A,34,4,2,0,10,2,46,6
Inter Milan,1967–68,Serie A,28,7,9,2,–,–,37,9
Inter Milan,1968–69,Serie A,30,6,3,1,–,–,33,7
Inter Milan,1969–70,Serie A,28,5,6,1,8,0,42,6
Inter Milan,1970–71,Serie A,30,5,3,0,2,0,35,5
Inter Milan,1971–72,Serie A,27,4,8,1,9,1,44,6
Inter Milan,1972–73,Serie A,29,1,10,3,5,0,44,4
Inter Milan,1973–74,Serie A,28,2,7,0,2,0,37,2
Inter Milan,1974–75,Serie A,23,0,8,1,3,0,34,1
Inter Milan,1975–76,Serie A,28,3,10,0,–,–,38,3
Inter Milan,1976–77,Serie A,27,1,9,1,1,0,37,2
Inter Milan,1977–78,Serie A,18,0,4,0,1,0,23,0
Career total,Career total,Career total,476,59,85,10,68,6,629,75
