# List of international goals scored by Gianluca Vialli
No.,Date,Venue,Opponent,Score,Result,Competition
1,24 January 1987,"Stadio Comunale, Bergamo, Italy",Malta,5–0,5–0,UEFA Euro 1988 qualifying
2,10 June 1987,"Letzigrund, Zürich, Switzerland",Argentina,3–1,3–1,Friendly
3,14 November 1987,"Stadio San Paolo, Naples, Italy",Sweden,1–0,2–1,UEFA Euro 1988 qualifying
4,14 November 1987,"Stadio San Paolo, Naples, Italy",Sweden,2–1,2–1,UEFA Euro 1988 qualifying
5,5 December 1987,"San Siro, Milan, Italy",Portugal,1–0,3–0,UEFA Euro 1988 qualifying
6,20 February 1988,"Stadio della Vittoria, Bari, Italy",Soviet Union,2–1,4–1,Friendly
7,20 February 1988,"Stadio della Vittoria, Bari, Italy",Soviet Union,3–1,4–1,Friendly
8,31 March 1988,"Stadion Poljud, Split, Yugoslavia",Yugoslavia,1–0,1–1,Friendly
9,14 June 1988,"Waldstadion, Frankfurt, West Germany",Spain,1–0,1–0,UEFA Euro 1988
10,16 November 1988,"Stadio Olimpico, Rome, Italy",Netherlands,1–0,1–0,Friendly
11,26 April 1989,"Stadio Erasmo Iacovone, Taranto, Italy",Hungary,1–0,4–0,Friendly
12,1 May 1991,"Stadio Arechi, Salerno, Italy",Hungary,3–0,3–1,UEFA Euro 1992 qualifying
13,12 June 1991,"Eleda Stadion, Malmö, Sweden",Denmark,2–0,2–0,Friendly
14,21 December 1991,"Stadio Pino Zaccheria, Foggia, Italy",Cyprus,1–0,2–0,UEFA Euro 1992 qualifying
15,9 September 1992,"Philips Stadion, Eindhoven, Netherlands",Netherlands,3–2,3–2,Friendly
16,19 December 1992,"Ta' Qali National Stadium, Ta' Qali, Malta",Malta,1–0,2–1,1994 FIFA World Cup qualification
