# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Legnano,1962–63,Serie C,23,6,0,0,0,0,0,0,23,6
Cagliari,1963–64,Serie B,26,8,2,0,0,0,0,0,28,8
Cagliari,1964–65,Serie A,32,9,4,3,0,0,0,0,36,12
Cagliari,1965–66,Serie A,34,11,3,0,0,0,0,0,37,11
Cagliari,1966–67,Serie A,23,18,3,0,1,1,0,0,27,19
Cagliari,1967–68,Serie A,26,13,1,0,4,3,0,0,31,16
Cagliari,1968–69,Serie A,29,20,6,8,2,0,0,0,37,28
Cagliari,1969–70,Serie A,28,21,6,5,0,0,2,1,36,27
Cagliari,1970–71,Serie A,13,8,5,5,4,2,3,3,25,18
Cagliari,1971–72,Serie A,30,21,4,3,0,0,0,0,34,24
Cagliari,1972–73,Serie A,26,12,6,8,0,0,1,0,33,20
Cagliari,1973–74,Serie A,25,15,1,0,0,0,0,0,26,15
Cagliari,1974–75,Serie A,8,2,1,1,0,0,0,0,9,3
Cagliari,1975–76,Serie A,15,6,0,0,0,0,0,0,15,6
Cagliari,Total,Total,315,164,42,33,11,6,6,4,374,207
Career total,Career total,Career total,338,170,42,33,11,6,6,4,397,213
