# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State league Apps,State league Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
América Mineiro,1997,Série B,8,0,3,0,0,0,—,—,—,—,—,—,11,0
América Mineiro,1998,Série A,20,1,1,0,2,0,—,—,—,—,—,—,23,1
América Mineiro,1999,Série B,—,—,17,1,3,0,—,—,—,—,6,1,26,2
América Mineiro,Total,Total,28,1,21,1,5,0,—,—,—,—,6,1,60,3
Atlético Mineiro,2000,Série A,3,0,11,1,6,0,—,—,8,0,6,0,34,1
Atlético Mineiro,2001,Série A,26,3,4,2,0,0,—,—,—,—,2,0,32,5
Atlético Mineiro,2002,Série A,0,0,0,0,6,0,—,—,—,—,15,2,21,2
Atlético Mineiro,Total,Total,29,3,15,3,12,0,—,—,8,0,23,2,87,8
Arsenal,2002–03,Premier League,35,0,—,—,3,0,0,0,12,2,1,1,51,3
Arsenal,2003–04,Premier League,32,4,—,—,3,0,1,0,8,0,1,0,45,4
Arsenal,2004–05,Premier League,13,0,—,—,2,0,0,0,1,0,1,1,17,1
Arsenal,2005–06,Premier League,33,2,—,—,1,0,3,1,10,1,1,0,48,4
Arsenal,2006–07,Premier League,34,10,—,—,3,0,1,0,9,1,—,—,47,11
Arsenal,2007–08,Premier League,23,1,—,—,3,0,3,0,7,0,—,—,36,1
Arsenal,Total,Total,170,17,—,—,15,0,8,1,47,4,4,2,244,24
Panathinaikos,2008–09,Super League Greece,29,3,—,—,2,0,—,—,11,0,—,—,42,3
Panathinaikos,2009–10,Super League Greece,24,0,—,—,3,0,—,—,13,0,—,—,40,0
Panathinaikos,2010–11,Super League Greece,30,2,—,—,2,1,—,—,5,0,—,—,37,3
Panathinaikos,Total,Total,83,5,—,—,7,1,—,—,29,0,—,—,119,6
Grêmio,2011,Série A,21,1,0,0,0,0,—,—,0,0,—,—,21,1
Grêmio,2012,Série A,26,0,15,1,8,0,—,—,4,0,—,—,53,1
Grêmio,Total,Total,47,1,15,1,8,0,—,—,4,0,—,—,74,2
Atlético Mineiro,2013,Série A,9,0,11,1,0,0,—,—,7,0,—,—,27,1
Career total,Career total,Career total,366,27,62,6,47,1,8,1,95,4,33,5,611,44
