# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Livorno,2000–01,Serie C1,3,0,1,0,—,—,—,—,4,0
Livorno,2001–02,Serie C1,5,0,8,0,—,—,2,0,15,0
Livorno,Total,Total,8,0,9,0,0,0,2,0,19,0
Livorno (loan),2002–03,Serie B,6,0,1,0,—,—,—,—,7,0
Livorno (loan),2003–04,Serie B,41,4,1,0,—,—,—,—,42,4
Livorno (loan),Total,Total,47,4,2,0,0,0,0,0,49,4
Fiorentina (loan),2004–05,Serie A,37,3,5,0,—,—,—,—,42,3
Juventus,2005–06,Serie A,17,0,0,0,6,0,0,0,23,0
Juventus,2006–07,Serie B,32,3,3,1,—,—,—,—,35,4
Juventus,2007–08,Serie A,30,3,2,0,—,—,—,—,32,3
Juventus,2008–09,Serie A,27,4,1,0,8,1,—,—,36,5
Juventus,2009–10,Serie A,32,4,2,0,6,1,—,—,40,5
Juventus,2010–11,Serie A,32,2,2,0,9,2,—,—,43,4
Juventus,2011–12,Serie A,34,2,3,0,—,—,—,—,37,2
Juventus,2012–13,Serie A,24,1,0,0,8,0,0,0,32,1
Juventus,2013–14,Serie A,31,3,1,0,11,0,1,1,44,4
Juventus,2014–15,Serie A,28,0,4,1,12,0,1,0,45,1
Juventus,2015–16,Serie A,24,1,4,0,6,0,0,0,34,1
Juventus,2016–17,Serie A,21,2,2,0,9,1,1,1,33,4
Juventus,2017–18,Serie A,26,0,4,0,7,0,1,0,38,0
Juventus,2018–19,Serie A,25,1,2,0,6,0,1,0,34,1
Juventus,2019–20,Serie A,4,1,0,0,0,0,0,0,4,1
Juventus,2020–21,Serie A,17,0,4,0,3,0,1,0,25,0
Juventus,2021–22,Serie A,21,0,3,0,1,0,1,0,26,0
Juventus,Total,Total,425,27,37,2,92,5,7,2,561,36
Los Angeles FC,2022,Major League Soccer,11,0,—,—,—,—,2,0,13,0
Los Angeles FC,2023,Major League Soccer,20,1,0,0,3,0,9,0,32,1
Los Angeles FC,Total,Total,31,1,0,0,3,0,11,0,45,1
Career total,Career total,Career total,548,35,53,2,95,5,20,2,716,44
