# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,1990–91,Serie A,0,0,—,—,—,—,—,—,—,—,0,0
Grasshoppers (loan),1991–92,Nationalliga A,21,9,,,—,—,—,—,—,—,21,9
Grasshoppers (loan),1992–93,Nationalliga A,30,25,,,—,—,4,2,—,—,34,27
Grasshoppers (loan),1993–94,Nationalliga A,27,21,,,—,—,—,—,—,—,27,21
Grasshoppers (loan),Total,Total,78,55,,,—,—,4,2,—,—,82,57
VfB Stuttgart,1994–95,Bundesliga,23,8,1,0,—,—,—,—,—,—,24,8
VfB Stuttgart,1995–96,Bundesliga,33,16,1,0,—,—,—,—,—,—,34,16
VfB Stuttgart,1996–97,Bundesliga,31,17,6,3,—,—,1,0,—,—,38,20
VfB Stuttgart,Total,Total,87,41,8,3,—,—,1,0,—,—,96,44
Bayern Munich,1997–98,Bundesliga,28,11,6,5,2,2,8,3,—,—,44,21
Bayern Munich,1998–99,Bundesliga,21,13,5,2,2,3,9,3,—,—,37,21
Bayern Munich,1999–2000,Bundesliga,26,14,3,2,0,0,12,3,—,—,41,19
Bayern Munich,2000–01,Bundesliga,27,15,1,0,0,0,16,6,—,—,44,21
Bayern Munich,2001–02,Bundesliga,30,17,3,1,1,0,11,6,2,0,47,24
Bayern Munich,2002–03,Bundesliga,33,21,6,6,1,2,8,2,—,—,48,31
Bayern Munich,2003–04,Bundesliga,4,1,0,0,1,1,0,0,—,—,5,2
Bayern Munich,Total,Total,169,92,24,16,7,8,64,23,2,0,266,139
Lyon,2003–04,Ligue 1,27,10,2,2,1,0,9,3,0,0,39,15
Lyon,2004–05,Ligue 1,3,1,0,0,0,0,0,0,1,1,4,2
Lyon,Total,Total,30,11,2,2,1,0,9,3,1,1,43,17
Borussia Mönchengladbach,2004–05,Bundesliga,0,0,0,0,—,—,—,—,—,—,0,0
Borussia Mönchengladbach,2005–06,Bundesliga,4,0,1,0,—,—,—,—,—,—,5,0
Borussia Mönchengladbach,Total,Total,4,0,1,0,0,0,0,0,—,—,5,0
Cruzeiro,2006,Série A,21,6,5,6,—,—,1,0,13,6,40,18
Career total,Career total,Career total,389,205,40,27,8,8,79,28,16,7,532,275
